Arbeit;Arbeit (Belastung);Arbeit (Entlastung);Belastungsarbeit;Dehnung;Dehnung nominell;Dehnungskanal;Entlastungsarbeit;H?henkanal;H?henkanal normiert;Ist-Temperatur;Kanalintegration;LE-Kanal;Me?l?nge;Prüfzeit;Standardkraft;Standardkraftsensor;Standardweg;Standardwegsensor;Systemzeit;Temperatur;Traverse abs;Traversenwegaufnehmer;Zeit;Zyklus Start;Zyklusnummer
Nm;Nm;Nm;;mm;mm;mm;;mm;mm;?C;;mm;mm;s;N;N;mm;mm;s;?C;mm;mm;s;;
0;0;0;0;0;0;1095.46;0;0;0;0;0;1.032;-1095.46;0;-1.93584;-1.93584;0;1095.46;301.485;0;1095.46;1095.46;301.485;0;0
0;0;0;0;0;0;1095.46;0;0;0;0;0;1.032;-1095.46;0;-1.97113;-1.97113;0;1095.46;307.065;0;1095.46;1095.46;307.065;0;0
0;0;0;0;0;0;1095.46;0;0;0;0;0;1.032;-1095.46;0;-2.00642;-2.00642;0;1095.46;307.285;0;1095.46;1095.46;307.285;0;0
0;0;0;0;0;0;1107.54;0;0;0;0;0;-11.0493;-1107.54;0;12.7091;12.7091;0;1107.54;315.085;0;1107.54;1107.54;315.085;0;0
0;0;0;0;0;0;1107.55;0;0;0;0;0;-11.0597;-1107.55;0;13.5208;13.5208;0;1107.55;315.145;0;1107.55;1107.55;315.145;0;0
0;0;0;0;0;0;0.0000449886;0;0;0;0;0;-11.0645;-1107.55;0;13.8384;13.8384;0;0.0000449886;315.205;0;1107.55;0.0000449886;315.205;0;0
0;0;0;0;0;0;0.000889816;0;-11.0645;11.0645;0;0;-11.0653;-1107.55;0;13.9795;13.9795;0;0.000889816;-0.00000610352;0;1107.55;0.000889816;315.225;0;0
0;0;0;0;0.00156223;0.00156223;0.00156223;0;-11.0645;11.0645;0;0;-11.066;-1107.56;0.0199939;13.9442;13.9442;0.00156223;0.00156223;0.0199939;0;1107.56;0.00156223;315.245;0;0
0.0000139619;0.0000139619;0;0.0139619;0.00256223;0.00256223;0.00256223;0;-11.0645;11.0645;0;0.0139619;-11.067;-1107.56;0.0599939;13.9795;13.9795;0.00256223;0.00256223;0.0599939;0;1107.56;0.00256223;315.285;0;0
0.0000204696;0.0000204696;0;0.0204696;0.00302775;0.00302775;0.00302775;0;-11.0645;11.0645;0;0.0204696;-11.0675;-1107.56;0.0999939;13.9795;13.9795;0.00302775;0.00302775;0.0999939;0;1107.56;0.00302775;315.325;0;0
0.0000226388;0.0000226388;0;0.0226388;0.00318292;0.00318292;0.00318292;0;-11.0645;11.0645;0;0.0226388;-11.0676;-1107.56;0.119994;13.9795;13.9795;0.00318292;0.00318292;0.119994;0;1107.56;0.00318292;315.345;1;1
0.0000243281;0.0000243281;0;0.0243281;0.00330361;0.00330361;0.00330361;0;-11.0645;11.0645;0;0.0243281;-11.0677;-1107.56;0.139994;14.0148;14.0148;0.00330361;0.00330361;0.139994;0;1107.56;0.00330361;315.365;1;1
0.0000265028;0.0000265028;0;0.0265028;0.00345878;0.00345878;0.00345878;0;-11.0645;11.0645;0;0.0265028;-11.0679;-1107.56;0.179994;14.0148;14.0148;0.00345878;0.00345878;0.179994;0;1107.56;0.00345878;315.405;1;1
0.0000294025;0.0000294025;0;0.0294025;0.00366568;0.00366568;0.00366568;0;-11.0645;11.0645;0;0.0294025;-11.0681;-1107.56;0.299994;14.0148;14.0148;0.00366568;0.00366568;0.299994;0;1107.56;0.00366568;315.525;1;1
0.0000298869;0.0000298869;0;0.0298869;0.00370016;0.00370016;0.00370016;0;-11.0645;11.0645;0;0.0298869;-11.0681;-1107.56;0.422494;14.0854;14.0854;0.00370016;0.00370016;0.422494;0;1107.56;0.00370016;315.648;1;1
0.0000298869;0.0000298869;0;0.0298869;0.00370016;0.00370016;0.00370016;0;-11.0645;11.0645;0;0.0298869;-11.0681;-1107.56;0.539994;13.9795;13.9795;0.00370016;0.00370016;0.539994;0;1107.56;0.00370016;315.765;1;1
0.0000298869;0.0000298869;0;0.0298869;0.00370016;0.00370016;0.00370016;0;-11.0645;11.0645;0;0.0298869;-11.0681;-1107.56;0.639994;13.9442;13.9442;0.00370016;0.00370016;0.639994;0;1107.56;0.00370016;315.865;1;1
0.0000296456;0.0000298869;-0.00000024133;0.0298869;0.00368292;0.00368292;0.00368292;-0.00024133;-11.0645;11.0645;0;0.0296456;-11.0681;-1107.56;0.739994;14.0501;14.0501;0.00368292;0.00368292;0.739994;0;1107.56;0.00368292;315.965;1;1
0.0000294037;0.0000298869;-0.000000483268;0.0298869;0.00366568;0.00366568;0.00366568;-0.000483268;-11.0645;11.0645;0;0.0294037;-11.0681;-1107.56;0.859994;14.0148;14.0148;0.00366568;0.00366568;0.859994;0;1107.56;0.00366568;316.085;1;1
0.000980159;0.000980643;-0.000000483268;0.980643;0.0626657;0.0626657;0.0626657;-0.000483268;-11.0645;11.0645;0;0.980159;-11.1271;-1107.62;0.959994;18.2142;18.2142;0.0626657;0.0626657;0.959994;0;1107.62;0.0626657;316.185;1;1
0.00153615;0.00153663;-0.000000483268;1.53663;0.0917002;0.0917002;0.0917002;-0.000483268;-11.0645;11.0645;0;1.53615;-11.1561;-1107.65;0.979994;20.0845;20.0845;0.0917002;0.0917002;0.979994;0;1107.65;0.0917002;316.205;1;1
