Arbeit;Arbeit (Belastung);Arbeit (Entlastung);Belastungsarbeit;Dehnung;Dehnung nominell;Dehnungskanal;Entlastungsarbeit;H?henkanal;H?henkanal normiert;Ist-Temperatur;Kanalintegration;LE-Kanal;Me?l?nge;Prüfzeit;Standardkraft;Standardkraftsensor;Standardweg;Standardwegsensor;Systemzeit;Temperatur;Traverse abs;Traversenwegaufnehmer;Zeit;Zyklus Start;Zyklusnummer;Ableitung2;Ableitung
0;0;0;0;0;0;1096.66;0;0;0;0;0;1.03202;-1096.66;0;-208.437;-208.437;0;1096.66;66.7225;0;1096.66;1096.66;66.7225;0;0;0;
0;0;0;0;0;0;1096.66;0;0;0;0;0;1.03202;-1096.66;0;-208.402;-208.402;0;1096.66;72.9825;0;1096.66;1096.66;72.9825;0;0;208.36700531742;0.035000000000025
0;0;0;0;0;0;1096.66;0;0;0;0;0;1.03202;-1096.66;0;0.00000531742;0.00000531742;0;1096.66;74.6025;0;1096.66;1096.66;74.6025;0;0;-208.40200531742;208.40200531742
0;0;0;0;0;0;1096.66;0;0;0;0;0;1.03202;-1096.66;0;0.00000531742;0.00000531742;0;1096.66;74.6825;0;1096.66;1096.66;74.6825;0;0;23.36339468258;0
0;0;0;0;0;0;1107.49;0;0;0;0;0;-9.80074;-1107.49;0;23.3634;23.3634;0;1107.49;81.7225;0;1107.49;1107.49;81.7225;0;0;-21.66939468258;23.36339468258
0;0;0;0;0;0;1107.5;0;0;0;0;0;-9.81026;-1107.5;0;25.0574;25.0574;0;1107.5;81.7825;0;1107.5;1107.5;81.7825;0;0;-0.811700000000005;1.694
0;0;0;0;0;0;0.0000469089;0;0;0;0;0;-9.81482;-1107.5;0;25.9397;25.9397;0;0.0000469089;81.8425;0;1107.5;0.0000469089;81.8425;0;0;-0.705799999999996;0.882299999999997
0;0;0;0;0;0;0.000908978;0;-9.81483;9.81483;0;0;-9.81569;-1107.51;0;26.1162;26.1162;0;0.000908978;-0.00000305176;0;1107.51;0.000908978;81.8625;0;0;-0.106000000000002;0.176500000000001
0;0;0;0;0.00147794;0.00147794;0.00147794;0;-9.81483;9.81483;0;0;-9.81626;-1107.51;0.0199969;26.1867;26.1867;0.00147794;0.00147794;0.0199969;0;1107.51;0.00147794;81.8825;0;0;0.211900000000004;0.0704999999999991
0.0000326829;0.0000326829;0;0.0326829;0.00271932;0.00271932;0.00271932;0;-9.81483;9.81483;0;0.0326829;-9.8175;-1107.51;0.0999969;26.4691;26.4691;0.00271932;0.00271932;0.0999969;0;1107.51;0.00271932;81.9625;0;0;-0.211800000000004;0.282400000000003
