Arbeit;Arbeit (Belastung);Arbeit (Entlastung);Belastungsarbeit;Dehnung;Dehnung nominell;Dehnungskanal;Entlastungsarbeit;H?henkanal;H?henkanal normiert;Ist-Temperatur;Kanalintegration;LE-Kanal;Me?l?nge;Prüfzeit;Standardkraft;Standardkraftsensor;Standardweg;Standardwegsensor;Systemzeit;Temperatur;Traverse abs;Traversenwegaufnehmer;Zeit;Zyklus Start;Zyklusnummer;Ableitung2
Nm;Nm;Nm;;mm;mm;mm;;mm;mm;?C;;mm;mm;s;N;N;mm;mm;s;?C;mm;mm;s;;;
0;0;0;0;0;0;1096.66;0;0;0;0;0;1.03202;-1096.66;0;-206.779;-206.779;0;1096.66;18258.7;0;1096.66;1096.66;18258.7;0;0;0
0;0;0;0;0;0;1096.66;0;0;0;0;0;1.03202;-1096.66;0;-206.743;-206.743;0;1096.66;18265.1;0;1096.66;1096.66;18265.1;0;0;206.70699830846
0;0;0;0;0;0;1096.66;0;0;0;0;0;1.03202;-1096.66;0;-0.00000169154;-0.00000169154;0;1096.66;18266.5;0;1096.66;1096.66;18266.5;0;0;-206.70770621692
0;0;0;0;0;0;1096.66;0;0;0;0;0;1.03202;-1096.66;0;0.0352904;0.0352904;0;1096.66;18266.6;0;1096.66;1096.66;18266.6;0;0;-0.10587629154
0;0;0;0;0;0;1096.66;0;0;0;0;0;1.03202;-1096.66;0;-0.0352938;-0.0352938;0;1096.66;18266.7;0;1096.66;1096.66;18266.7;0;0;0.0352921
0;0;0;0;0;0;0.0000557585;0;0;0;0;0;1.03197;-1096.66;0;-0.0705859;-0.0705859;0;0.0000557585;18266.7;0;1096.66;0.0000557585;18266.7;0;0;0
0;0;0;0;0;0;0.0000557585;0;1.03197;-1.03197;0;0;1.03197;-1096.66;0;-0.105878;-0.105878;0;0.0000557585;0.00078125;0;1096.66;0.0000557585;18266.8;0;0;0.1058763
0;0;0;0;0.0000557585;0.0000557585;0.0000557585;0;1.03197;-1.03197;0;0;1.03197;-1096.66;0.0207813;-0.0352938;-0.0352938;0.0000557585;0.0000557585;0.0207813;0;1096.66;0.0000557585;18266.8;0;0;-0.0705842
0;0;0;0;0.0000557585;0.0000557585;0.0000557585;0;1.03197;-1.03197;0;0;1.03197;-1096.66;0.0607813;-0.0352938;-0.0352938;0.0000557585;0.0000557585;0.0607813;0;1096.66;0.0000557585;18266.8;0;0;0.0705842
0;0;0;0;0.0000557585;0.0000557585;0.0000557585;0;1.03197;-1.03197;0;0;1.03197;-1096.66;0.100781;0.0352904;0.0352904;0.0000557585;0.0000557585;0.100781;0;1096.66;0.0000557585;18266.9;0;0;-0.0705842
0;0;0;0;0.0000557585;0.0000557585;0.0000557585;0;1.03197;-1.03197;0;0;1.03197;-1096.66;0.120781;0.0352904;0.0352904;0.0000557585;0.0000557585;0.120781;0;1096.66;0.0000557585;18266.9;1;1;-0.03529209154
-1.19569E-25;0;-1.19569E-25;0;0.0000557585;0.0000557585;0.0000557585;-1.19569E-22;1.03197;-1.03197;0;-1.19569E-22;1.03197;-1096.66;0.140781;-0.00000169154;-0.00000169154;0.0000557585;0.0000557585;0.140781;0;1096.66;0.0000557585;18266.9;1;1;0.03529209154
