Arbeit;Arbeit (Belastung);Arbeit (Entlastung);Belastungsarbeit;Dehnung;Dehnung nominell;Dehnungskanal;Entlastungsarbeit;Höhenkanal;Höhenkanal normiert;Ist-Temperatur;Kanalintegration;LE-Kanal;Meßlänge;Prüfzeit;Standardkraft;Standardkraftsensor;Standardweg;Standardwegsensor;Systemzeit ;Temperatur;Traverse abs;Traversenwegaufnehmer;Zeit;Zyklus Start;Zyklusnummer
0.0;0.0;0.0;0.0;0.0;0.0;1088.42;0.0;0;0;0;0.0;5.90861;-1088.42;0.0;0.670584;0.670584;0.0;1088.42;494.745;0;1088.42;1088.42;494.745;0;0
0.0;0.0;0.0;0.0;0.0;0.0;1088.42;0.0;0;0;0;0.0;5.90861;-1088.42;0.0;0.74117;0.74117;0.0;1088.42;498.585;0;1088.42;1088.42;498.585;0;0
0.0;0.0;0.0;0.0;0.0;0.0;1088.42;0.0;0;0;0;0.0;5.90861;-1088.42;0.0;0.705877;0.705877;0.0;1088.42;498.805;0;1088.42;1088.42;498.805;0;0
0.0;0.0;0.0;0.0;0.0;0.0;1095.34;0.0;0;0;0;0.0;-1.00862;-1095.34;0.0;26.5051;26.5051;0.0;1095.34;503.505;0;1095.34;1095.34;503.505;0;0
0.0;0.0;0.0;0.0;0.0;0.0;1095.35;0.0;0;0;0;0.0;-1.01766;-1095.35;0.0;28.7991;28.7991;0.0;1095.35;503.568;0;1095.35;1095.35;503.568;0;0
0.0;0.0;0.0;0.0;0.0;0.0;-1.32508e-005;0.0;0;0;0;0.0;-1.02155;-1095.35;0.0;29.8579;29.8579;0.0;-1.32508e-005;503.625;0;1095.35;-1.32508e-005;503.625;0;0
0.0;0.0;0.0;0.0;0.0;0.0;0.000797094;0.0;-1.02155;1.02155;0;0.0;-1.02236;-1095.35;0.0;30.105;30.105;0.0;0.000797094;1.09863e-005;0;1095.35;0.000797094;503.645;0;0
0;0;0;0;0.00143503;0.00143503;0.00143503;0;-1.02155;1.02155;0;0;-1.023;-1095.35;0.020011;30.2814;30.2814;0.00143503;0.00143503;0.020011;0;1095.35;0.00143503;503.665;0;0
4.03886e-005;4.03886e-005;0;0.0403886;0.00276261;0.00276261;0.00276261;0;-1.02155;1.02155;0;0.0403886;-1.02433;-1095.35;0.100011;30.5638;30.5638;0.00276261;0.00276261;0.100011;0;1095.35;0.00276261;503.745;0;0
4.35504e-005;4.35504e-005;0;0.0435504;0.00286606;0.00286606;0.00286606;0;-1.02155;1.02155;0;0.0435504;-1.02443;-1095.35;0.120011;30.5638;30.5638;0.00286606;0.00286606;0.120011;0;1095.35;0.00286606;503.765;1;1
4.6714e-005;4.6714e-005;0;0.046714;0.00296951;0.00296951;0.00296951;0;-1.02155;1.02155;0;0.046714;-1.02453;-1095.35;0.140011;30.5991;30.5991;0.00296951;0.00296951;0.140011;0;1095.35;0.00296951;503.785;1;1
5.14676e-005;5.14676e-005;0;0.0514676;0.00312468;0.00312468;0.00312468;0;-1.02155;1.02155;0;0.0514676;-1.02469;-1095.35;0.220011;30.6697;30.6697;0.00312468;0.00312468;0.220011;0;1095.35;0.00312468;503.865;1;1
5.30558e-005;5.30558e-005;0;0.0530558;0.0031764;0.0031764;0.0031764;0;-1.02155;1.02155;0;0.0530558;-1.02474;-1095.35;0.320011;30.7403;30.7403;0.0031764;0.0031764;0.320011;0;1095.35;0.0031764;503.965;1;1
5.41146e-005;5.41146e-005;0;0.0541146;0.00321089;0.00321089;0.00321089;0;-1.02155;1.02155;0;0.0541146;-1.02477;-1095.35;0.440011;30.6697;30.6697;0.00321089;0.00321089;0.440011;0;1095.35;0.00321089;504.085;1;1
5.41146e-005;5.41146e-005;0;0.0541146;0.00321089;0.00321089;0.00321089;0;-1.02155;1.02155;0;0.0541146;-1.02477;-1095.35;0.560011;30.5991;30.5991;0.00321089;0.00321089;0.560011;0;1095.35;0.00321089;504.205;1;1
5.41146e-005;5.41146e-005;0;0.0541146;0.00321089;0.00321089;0.00321089;0;-1.02155;1.02155;0;0.0541146;-1.02477;-1095.35;0.660011;30.8108;30.8108;0.00321089;0.00321089;0.660011;0;1095.35;0.00321089;504.305;1;1
7.68731e-005;7.68731e-005;0;0.0768731;0.00393503;0.00393503;0.00393503;0;-1.02155;1.02155;0;0.0768731;-1.0255;-1095.36;0.760011;32.0461;32.0461;0.00393503;0.00393503;0.760011;0;1095.36;0.00393503;504.405;1;1
0.0030416;0.0030416;0;3.0416;0.0767281;0.0767281;0.0767281;0;-1.02155;1.02155;0;3.0416;-1.09829;-1095.43;0.840011;49.4103;49.4103;0.0767281;0.0767281;0.840011;0;1095.43;0.0767281;504.485;1;1
0.00482546;0.00482546;0;4.82546;0.110245;0.110245;0.110245;0;-1.02155;1.02155;0;4.82546;-1.13181;-1095.46;0.862511;57.0336;57.0336;0.110245;0.110245;0.862511;0;1095.46;0.110245;504.507;1;1
0.0106521;0.0106521;0;10.6521;0.19997;0.19997;0.19997;0;-1.02155;1.02155;0;10.6521;-1.22153;-1095.55;0.920011;72.8448;72.8448;0.19997;0.19997;0.920011;0;1095.55;0.19997;504.565;1;1
0.0180735;0.0180735;0;18.0735;0.296918;0.296918;0.296918;0;-1.02155;1.02155;0;18.0735;-1.31848;-1095.65;0.980011;80.2564;80.2564;0.296918;0.296918;0.980011;0;1095.65;0.296918;504.625;1;1
0.0207231;0.0207231;0;20.7231;0.329694;0.329694;0.329694;0;-1.02155;1.02155;0;20.7231;-1.35126;-1095.68;1.00001;81.4211;81.4211;0.329694;0.329694;1.00001;0;1095.68;0.329694;504.645;1;1
0.0316665;0.0316665;0;31.6665;0.46178;0.46178;0.46178;0;-1.02155;1.02155;0;31.6665;-1.48334;-1095.81;1.08001;84.2798;84.2798;0.46178;0.46178;1.08001;0;1095.81;0.46178;504.725;1;1
0.0430209;0.0430209;0;43.0209;0.594694;0.594694;0.594694;0;-1.02155;1.02155;0;43.0209;-1.61626;-1095.95;1.16001;86.5738;86.5738;0.594694;0.594694;1.16001;0;1095.95;0.594694;504.805;1;1
0.0488311;0.0488311;0;48.8311;0.661332;0.661332;0.661332;0;-1.02155;1.02155;0;48.8311;-1.68289;-1096.01;1.20001;87.8091;87.8091;0.661332;0.661332;1.20001;0;1096.01;0.661332;504.845;1;1
0.0521329;0.0521329;0;52.1329;0.698797;0.698797;0.698797;0;-1.02155;1.02155;0;52.1329;-1.72036;-1096.05;1.22251;88.4444;88.4444;0.698797;0.698797;1.22251;0;1096.05;0.698797;504.867;1;1
0.0636864;0.0636864;0;63.6864;0.827832;0.827832;0.827832;0;-1.02155;1.02155;0;63.6864;-1.84939;-1096.18;1.30001;90.6325;90.6325;0.827832;0.827832;1.30001;0;1096.18;0.827832;504.945;1;1
0.0667173;0.0667173;0;66.7173;0.861176;0.861176;0.861176;0;-1.02155;1.02155;0;66.7173;-1.88274;-1096.21;1.32001;91.1619;91.1619;0.861176;0.861176;1.32001;0;1096.21;0.861176;504.965;1;1
0.0759287;0.0759287;0;75.9287;0.961194;0.961194;0.961194;0;-1.02155;1.02155;0;75.9287;-1.98276;-1096.31;1.38001;93.0325;93.0325;0.961194;0.961194;1.38001;0;1096.31;0.961194;505.025;1;1
0.0853185;0.0853185;0;85.3185;1.06118;1.06118;1.06118;0;-1.02155;1.02155;0;85.3185;-2.08274;-1096.41;1.44001;94.7971;94.7971;1.06118;1.06118;1.44001;0;1096.41;1.06118;505.085;1;1
0.0884856;0.0884856;0;88.4856;1.09449;1.09449;1.09449;0;-1.02155;1.02155;0;88.4856;-2.11605;-1096.45;1.46001;95.3618;95.3618;1.09449;1.09449;1.46001;0;1096.45;1.09449;505.105;1;1
0.101343;0.101343;0;101.343;1.22778;1.22778;1.22778;0;-1.02155;1.02155;0;101.343;-2.24934;-1096.58;1.54001;97.55;97.55;1.22778;1.22778;1.54001;0;1096.58;1.22778;505.185;1;1
0.104607;0.104607;0;104.607;1.26114;1.26114;1.26114;0;-1.02155;1.02155;0;104.607;-2.2827;-1096.61;1.56001;98.15;98.15;1.26114;1.26114;1.56001;0;1096.61;1.26114;505.205;1;1
0.111192;0.111192;0;111.192;1.32785;1.32785;1.32785;0;-1.02155;1.02155;0;111.192;-2.34941;-1096.68;1.60001;99.2793;99.2793;1.32785;1.32785;1.60001;0;1096.68;1.32785;505.245;1;1
0.121196;0.121196;0;121.196;1.42783;1.42783;1.42783;0;-1.02155;1.02155;0;121.196;-2.44939;-1096.78;1.66001;100.832;100.832;1.42783;1.42783;1.66001;0;1096.78;1.42783;505.305;1;1
0.124563;0.124563;0;124.563;1.46114;1.46114;1.46114;0;-1.02155;1.02155;0;124.563;-2.4827;-1096.81;1.68001;101.326;101.326;1.46114;1.46114;1.68001;0;1096.81;1.46114;505.325;1;1
0.138206;0.138206;0;138.206;1.59449;1.59449;1.59449;0;-1.02155;1.02155;0;138.206;-2.61605;-1096.95;1.76001;103.303;103.303;1.59449;1.59449;1.76001;0;1096.95;1.59449;505.405;1;1
0.148617;0.148617;0;148.617;1.6945;1.6945;1.6945;0;-1.02155;1.02155;0;148.617;-2.71607;-1097.05;1.82001;104.891;104.891;1.6945;1.6945;1.82001;0;1097.05;1.6945;505.465;1;1
0.159196;0.159196;0;159.196;1.79449;1.79449;1.79449;0;-1.02155;1.02155;0;159.196;-2.81605;-1097.15;1.88001;106.726;106.726;1.79449;1.79449;1.88001;0;1097.15;1.79449;505.525;1;1
0.162765;0.162765;0;162.765;1.82781;1.82781;1.82781;0;-1.02155;1.02155;0;162.765;-2.84938;-1097.18;1.90001;107.432;107.432;1.82781;1.82781;1.90001;0;1097.18;1.82781;505.545;1;1
0.173602;0.173602;0;173.602;1.92783;1.92783;1.92783;0;-1.02155;1.02155;0;173.602;-2.94939;-1097.28;1.96001;109.267;109.267;1.92783;1.92783;1.96001;0;1097.28;1.92783;505.605;1;1
0.17771;0.17771;0;177.71;1.96533;1.96533;1.96533;0;-1.02155;1.02155;0;177.71;-2.98689;-1097.32;1.98251;109.832;109.832;1.96533;1.96533;1.98251;0;1097.32;1.96533;505.628;1;1
