Arbeit;Arbeit (Belastung);Arbeit (Entlastung);Belastungsarbeit;Dehnung;Dehnung nominell;Dehnungskanal;Entlastungsarbeit;Höhenkanal;Höhenkanal normiert;Ist-Temperatur;Kanalintegration;LE-Kanal;Meßlänge;Prüfzeit;Standardkraft;Standardkraftsensor;Standardweg;Standardwegsensor;Systemzeit ;Temperatur;Traverse abs;Traversenwegaufnehmer;Zeit;Zyklus Start;Zyklusnummer
0.0;0.0;0.0;0.0;0.0;0.0;1090.45;0.0;0;0;0;0.0;3.882;-1090.45;0.0;0.176427;0.176427;0.0;1090.45;449.783;0;1090.45;1090.45;449.783;0;0
0.0;0.0;0.0;0.0;0.0;0.0;1090.45;0.0;0;0;0;0.0;3.882;-1090.45;0.0;0.176427;0.176427;0.0;1090.45;452.362;0;1090.45;1090.45;452.362;0;0
0.0;0.0;0.0;0.0;0.0;0.0;1090.45;0.0;0;0;0;0.0;3.882;-1090.45;0.0;0.211719;0.211719;0.0;1090.45;452.582;0;1090.45;1090.45;452.582;0;0
0.0;0.0;0.0;0.0;0.0;0.0;1095.38;0.0;0;0;0;0.0;-1.05135;-1095.38;0.0;11.7171;11.7171;0.0;1095.38;456.103;0;1095.38;1095.38;456.103;0;0
0.0;0.0;0.0;0.0;0.0;0.0;1095.39;0.0;0;0;0;0.0;-1.06038;-1095.39;0.0;12.4583;12.4583;0.0;1095.39;456.163;0;1095.39;1095.39;456.163;0;0
0.0;0.0;0.0;0.0;0.0;0.0;-1.92457e-005;0.0;0;0;0;0.0;-1.06476;-1095.39;0.0;12.7759;12.7759;0.0;-1.92457e-005;456.223;0;1095.39;-1.92457e-005;456.223;0;0
0.0;0.0;0.0;0.0;0.0;0.0;0.000791099;0.0;-1.06476;1.06476;0;0.0;-1.06557;-1095.4;0.0;12.8465;12.8465;0.0;0.000791099;7.32422e-006;0;1095.4;0.000791099;456.242;0;0
0;0;0;0;0.00146351;0.00146351;0.00146351;0;-1.06476;1.06476;0;0;-1.06624;-1095.4;0.0200073;12.8818;12.8818;0.00146351;0.00146351;0.0200073;0;1095.4;0.00146351;456.262;0;0
6.45853e-006;6.45853e-006;0;0.00645853;0.00196351;0.00196351;0.00196351;0;-1.06476;1.06476;0;0.00645853;-1.06674;-1095.4;0.0400073;12.9523;12.9523;0.00196351;0.00196351;0.0400073;0;1095.4;0.00196351;456.282;0;0
1.58889e-005;1.58889e-005;0;0.0158889;0.00268765;0.00268765;0.00268765;0;-1.06476;1.06476;0;0.0158889;-1.06746;-1095.4;0.100007;13.0935;13.0935;0.00268765;0.00268765;0.100007;0;1095.4;0.00268765;456.343;0;0
1.79234e-005;1.79234e-005;0;0.0179234;0.00284282;0.00284282;0.00284282;0;-1.06476;1.06476;0;0.0179234;-1.06762;-1095.4;0.120007;13.1288;13.1288;0.00284282;0.00284282;0.120007;0;1095.4;0.00284282;456.362;1;1
1.95079e-005;1.95079e-005;0;0.0195079;0.00296351;0.00296351;0.00296351;0;-1.06476;1.06476;0;0.0195079;-1.06774;-1095.4;0.140007;13.1288;13.1288;0.00296351;0.00296351;0.140007;0;1095.4;0.00296351;456.382;1;1
2.08661e-005;2.08661e-005;0;0.0208661;0.00306696;0.00306696;0.00306696;0;-1.06476;1.06476;0;0.0208661;-1.06784;-1095.4;0.160007;13.1288;13.1288;0.00306696;0.00306696;0.160007;0;1095.4;0.00306696;456.403;1;1
2.40266e-005;2.40266e-005;0;0.0240266;0.00330834;0.00330834;0.00330834;0;-1.06476;1.06476;0;0.0240266;-1.06808;-1095.4;0.280007;13.0582;13.0582;0.00330834;0.00330834;0.280007;0;1095.4;0.00330834;456.523;1;1
2.47002e-005;2.47002e-005;0;0.0247002;0.00336006;0.00336006;0.00336006;0;-1.06476;1.06476;0;0.0247002;-1.06814;-1095.4;0.400007;12.9876;12.9876;0.00336006;0.00336006;0.400007;0;1095.4;0.00336006;456.643;1;1
2.44754e-005;2.47002e-005;-2.24837e-007;0.0247002;0.00334282;0.00334282;0.00334282;-0.000224837;-1.06476;1.06476;0;0.0244754;-1.06812;-1095.4;0.500007;13.0935;13.0935;0.00334282;0.00334282;0.500007;0;1095.4;0.00334282;456.743;1;1
