Arbeit;Arbeit (Belastung);Arbeit (Entlastung);Belastungsarbeit;Dehnung;Dehnung nominell;Dehnungskanal;Entlastungsarbeit;Höhenkanal;Höhenkanal normiert;Ist-Temperatur;Kanalintegration;LE-Kanal;Meßlänge;Prüfzeit;Standardkraft;Standardkraftsensor;Standardweg;Standardwegsensor;Systemzeit ;Temperatur;Traverse abs;Traversenwegaufnehmer;Zeit;Zyklus Start;Zyklusnummer
0.0;0.0;0.0;0.0;0.0;0.0;1090.45;0.0;0;0;0;0.0;3.882;-1090.45;0.0;0.0353378;0.0353378;0.0;1090.45;2189.46;0;1090.45;1090.45;2189.46;0;0
0.0;0.0;0.0;0.0;0.0;0.0;1090.45;0.0;0;0;0;0.0;3.882;-1090.45;0.0;0.0706304;0.0706304;0.0;1090.45;2195.94;0;1090.45;1090.45;2195.94;0;0
0.0;0.0;0.0;0.0;0.0;0.0;1090.45;0.0;0;0;0;0.0;3.882;-1090.45;0.0;-0.07054;-0.07054;0.0;1090.45;2196.16;0;1090.45;1090.45;2196.16;0;0
0.0;0.0;0.0;0.0;0.0;0.0;1094.81;0.0;0;0;0;0.0;-0.484697;-1094.81;0.0;56.4329;56.4329;0.0;1094.81;2199.32;0;1094.81;1094.81;2199.32;0;0
0.0;0.0;0.0;0.0;0.0;0.0;1094.82;0.0;0;0;0;0.0;-0.49373;-1094.82;0.0;59.8916;59.8916;0.0;1094.82;2199.38;0;1094.82;1094.82;2199.38;0;0
0.0;0.0;0.0;0.0;0.0;0.0;4.49483e-005;0.0;0;0;0;0.0;-0.49817;-1094.83;0.0;61.1974;61.1974;0.0;4.49483e-005;2199.44;0;1094.83;4.49483e-005;2199.44;0;0
0.0;0.0;0.0;0.0;0.0;0.0;0.000838052;0.0;-0.49817;0.49817;0;0.0;-0.498963;-1094.83;0.0;61.3739;61.3739;0.0;0.000838052;9.76563e-005;0;1094.83;0.000838052;2199.46;0;0
0;0;0;0;0.00142426;0.00142426;0.00142426;0;-0.49817;0.49817;0;0;-0.499549;-1094.83;0.0200977;61.5151;61.5151;0.00142426;0.00142426;0.0200977;0;1094.83;0.00142426;2199.48;0;0
6.16033e-005;6.16033e-005;0;0.0616033;0.00242426;0.00242426;0.00242426;0;-0.49817;0.49817;0;0.0616033;-0.500549;-1094.83;0.0800977;61.6915;61.6915;0.00242426;0.00242426;0.0800977;0;1094.83;0.00242426;2199.54;0;0
7.33001e-005;7.33001e-005;0;0.0733001;0.00261391;0.00261391;0.00261391;0;-0.49817;0.49817;0;0.0733001;-0.500739;-1094.83;0.100098;61.6562;61.6562;0.00261391;0.00261391;0.100098;0;1094.83;0.00261391;2199.56;0;0
8.28619e-005;8.28619e-005;0;0.0828619;0.00276909;0.00276909;0.00276909;0;-0.49817;0.49817;0;0.0828619;-0.500894;-1094.83;0.120098;61.5856;61.5856;0.00276909;0.00276909;0.120098;0;1094.83;0.00276909;2199.58;1;1
8.92292e-005;8.92292e-005;0;0.0892292;0.00287253;0.00287253;0.00287253;0;-0.49817;0.49817;0;0.0892292;-0.500998;-1094.83;0.140098;61.5151;61.5151;0.00287253;0.00287253;0.140098;0;1094.83;0.00287253;2199.6;1;1
0.000101942;0.000101942;0;0.101942;0.00307943;0.00307943;0.00307943;0;-0.49817;0.49817;0;0.101942;-0.501204;-1094.83;0.200098;61.3739;61.3739;0.00307943;0.00307943;0.200098;0;1094.83;0.00307943;2199.66;1;1
0.000110402;0.000110402;0;0.110402;0.00321736;0.00321736;0.00321736;0;-0.49817;0.49817;0;0.110402;-0.501342;-1094.83;0.300098;61.3033;61.3033;0.00321736;0.00321736;0.300098;0;1094.83;0.00321736;2199.76;1;1
0.000113568;0.000113568;0;0.113568;0.00326909;0.00326909;0.00326909;0;-0.49817;0.49817;0;0.113568;-0.501394;-1094.83;0.420098;61.0915;61.0915;0.00326909;0.00326909;0.420098;0;1094.83;0.00326909;2199.88;1;1
0.000113568;0.000113568;0;0.113568;0.00326909;0.00326909;0.00326909;0;-0.49817;0.49817;0;0.113568;-0.501394;-1094.83;0.540098;60.8798;60.8798;0.00326909;0.00326909;0.540098;0;1094.83;0.00326909;2200;1;1
0.000114616;0.000114616;0;0.114616;0.00328633;0.00328633;0.00328633;0;-0.49817;0.49817;0;0.114616;-0.501411;-1094.83;0.660098;60.7033;60.7033;0.00328633;0.00328633;0.660098;0;1094.83;0.00328633;2200.12;1;1
