Arbeit;Arbeit (Belastung);Arbeit (Entlastung);Belastungsarbeit;Dehnung;Dehnung nominell;Dehnungskanal;Entlastungsarbeit;Höhenkanal;Höhenkanal normiert;Ist-Temperatur;Kanalintegration;LE-Kanal;Meßlänge;Prüfzeit;Standardkraft;Standardkraftsensor;Standardweg;Standardwegsensor;Systemzeit ;Temperatur;Traverse abs;Traversenwegaufnehmer;Zeit;Zyklus Start;Zyklusnummer
0.0;0.0;0.0;0.0;0.0;0.0;1088.42;0.0;0;0;0;0.0;5.90861;-1088.42;0.0;-0.0706223;-0.0706223;0.0;1088.42;7609.15;0;1088.42;1088.42;7609.15;0;0
0.0;0.0;0.0;0.0;0.0;0.0;1088.42;0.0;0;0;0;0.0;5.90861;-1088.42;0.0;-3.61988e-005;-3.61988e-005;0.0;1088.42;7612.71;0;1088.42;1088.42;7612.71;0;0
0.0;0.0;0.0;0.0;0.0;0.0;1088.42;0.0;0;0;0;0.0;5.90861;-1088.42;0.0;-0.0353292;-0.0353292;0.0;1088.42;7612.92;0;1088.42;1088.42;7612.92;0;0
0.0;0.0;0.0;0.0;0.0;0.0;1094.84;0.0;0;0;0;0.0;-0.505815;-1094.84;0.0;56.7512;56.7512;0.0;1094.84;7617.35;0;1094.84;1094.84;7617.35;0;0
0.0;0.0;0.0;0.0;0.0;0.0;1094.85;0.0;0;0;0;0.0;-0.516436;-1094.85;0.0;61.9039;61.9039;0.0;1094.85;7617.4;0;1094.85;1094.85;7617.4;0;0
0.0;0.0;0.0;0.0;0.0;0.0;-7.71917e-006;0.0;0;0;0;0.0;-0.521066;-1094.85;0.0;63.7392;63.7392;0.0;-7.71917e-006;7617.46;0;1094.85;-7.71917e-006;7617.46;0;0
0.0;0.0;0.0;0.0;0.0;0.0;0.000957798;0.0;-0.521066;0.521066;0;0.0;-0.522032;-1094.85;0.0;64.0921;64.0921;0.0;0.000957798;0.000136719;0;1094.85;0.000957798;7617.49;0;0
0;0;0;0;0.00164745;0.00164745;0.00164745;0;-0.521066;0.521066;0;0;-0.522722;-1094.85;0.0201367;64.3745;64.3745;0.00164745;0.00164745;0.0201367;0;1094.85;0.00164745;7617.51;0;0
0.00010033;0.00010033;0;0.10033;0.00319918;0.00319918;0.00319918;0;-0.521066;0.521066;0;0.10033;-0.524273;-1094.85;0.100137;64.9392;64.9392;0.00319918;0.00319918;0.100137;0;1094.85;0.00319918;7617.59;0;0
0.000111526;0.000111526;0;0.111526;0.00337159;0.00337159;0.00337159;0;-0.521066;0.521066;0;0.111526;-0.524446;-1094.85;0.120137;64.9392;64.9392;0.00337159;0.00337159;0.120137;0;1094.85;0.00337159;7617.6;1;1
0.000118246;0.000118246;0;0.118246;0.00347504;0.00347504;0.00347504;0;-0.521066;0.521066;0;0.118246;-0.524549;-1094.85;0.140137;64.9744;64.9744;0.00347504;0.00347504;0.140137;0;1094.85;0.00347504;7617.63;1;1
0.000132797;0.000132797;0;0.132797;0.00369918;0.00369918;0.00369918;0;-0.521066;0.521066;0;0.132797;-0.524773;-1094.85;0.240137;64.8686;64.8686;0.00369918;0.00369918;0.240137;0;1094.85;0.00369918;7617.72;1;1
0.00013615;0.00013615;0;0.13615;0.0037509;0.0037509;0.0037509;0;-0.521066;0.521066;0;0.13615;-0.524825;-1094.85;0.360137;64.798;64.798;0.0037509;0.0037509;0.360137;0;1094.85;0.0037509;7617.84;1;1
0.00013615;0.00013615;0;0.13615;0.0037509;0.0037509;0.0037509;0;-0.521066;0.521066;0;0.13615;-0.524825;-1094.85;0.480137;64.7274;64.7274;0.0037509;0.0037509;0.480137;0;1094.85;0.0037509;7617.97;1;1
0.000135035;0.00013615;-1.11507e-006;0.13615;0.00373366;0.00373366;0.00373366;-0.00111507;-0.521066;0.521066;0;0.135035;-0.524808;-1094.85;0.580137;64.6215;64.6215;0.00373366;0.00373366;0.580137;0;1094.85;0.00373366;7618.06;1;1
0.000133921;0.00013615;-2.22984e-006;0.13615;0.00371642;0.00371642;0.00371642;-0.00222984;-0.521066;0.521066;0;0.133921;-0.524791;-1094.85;0.700137;64.6921;64.6921;0.00371642;0.00371642;0.700137;0;1094.85;0.00371642;7618.19;1;1
0.00474507;0.0047473;-2.22984e-006;4.7473;0.0625957;0.0625957;0.0625957;-0.00222984;-0.521066;0.521066;0;4.74507;-0.58367;-1094.91;0.800137;91.9383;91.9383;0.0625957;0.0625957;0.800137;0;1094.91;0.0625957;7618.29;1;1
0.00757621;0.00757844;-2.22984e-006;7.57844;0.091613;0.091613;0.091613;-0.00222984;-0.521066;0.521066;0;7.57621;-0.612687;-1094.94;0.820137;103.197;103.197;0.091613;0.091613;0.820137;0;1094.94;0.091613;7618.31;1;1
0.0185088;0.018511;-2.22984e-006;18.511;0.184441;0.184441;0.184441;-0.00222984;-0.521066;0.521066;0;18.5088;-0.705515;-1095.04;0.880137;132.349;132.349;0.184441;0.184441;0.880137;0;1095.04;0.184441;7618.37;1;1
0.0320708;0.032073;-2.22984e-006;32.073;0.281027;0.281027;0.281027;-0.00222984;-0.521066;0.521066;0;32.0708;-0.802101;-1095.13;0.940137;148.478;148.478;0.281027;0.281027;0.940137;0;1095.13;0.281027;7618.43;1;1
0.0369787;0.0369809;-2.22984e-006;36.9809;0.313716;0.313716;0.313716;-0.00222984;-0.521066;0.521066;0;36.9787;-0.834791;-1095.16;0.960137;151.795;151.795;0.313716;0.313716;0.960137;0;1095.16;0.313716;7618.44;1;1
0.052978;0.0529802;-2.22984e-006;52.9802;0.416734;0.416734;0.416734;-0.00222984;-0.521066;0.521066;0;52.978;-0.937808;-1095.27;1.02264;158.819;158.819;0.416734;0.416734;1.02264;0;1095.27;0.416734;7618.51;1;1
0.0576074;0.0576097;-2.22984e-006;57.6097;0.445751;0.445751;0.445751;-0.00222984;-0.521066;0.521066;0;57.6074;-0.966825;-1095.3;1.04014;160.266;160.266;0.445751;0.445751;1.04014;0;1095.3;0.445751;7618.52;1;1
0.0737747;0.073777;-2.22984e-006;73.777;0.545303;0.545303;0.545303;-0.00222984;-0.521066;0.521066;0;73.7747;-1.06638;-1095.4;1.10014;164.536;164.536;0.545303;0.545303;1.10014;0;1095.4;0.545303;7618.59;1;1
0.090381;0.0903832;-2.22984e-006;90.3832;0.645096;0.645096;0.645096;-0.00222984;-0.521066;0.521066;0;90.381;-1.16617;-1095.5;1.16014;168.277;168.277;0.645096;0.645096;1.16014;0;1095.5;0.645096;7618.64;1;1
0.0960057;0.096008;-2.22984e-006;96.008;0.678406;0.678406;0.678406;-0.00222984;-0.521066;0.521066;0;96.0057;-1.19948;-1095.53;1.18014;169.442;169.442;0.678406;0.678406;1.18014;0;1095.53;0.678406;7618.66;1;1
0.1189;0.118902;-2.22984e-006;118.902;0.811716;0.811716;0.811716;-0.00222984;-0.521066;0.521066;0;118.9;-1.33279;-1095.66;1.26014;174.03;174.03;0.811716;0.811716;1.26014;0;1095.66;0.811716;7618.75;1;1
0.124714;0.124716;-2.22984e-006;124.716;0.845027;0.845027;0.845027;-0.00222984;-0.521066;0.521066;0;124.714;-1.3661;-1095.7;1.28014;175.053;175.053;0.845027;0.845027;1.28014;0;1095.7;0.845027;7618.76;1;1
0.142357;0.142359;-2.22984e-006;142.359;0.944975;0.944975;0.944975;-0.00222984;-0.521066;0.521066;0;142.357;-1.46605;-1095.8;1.34014;177.983;177.983;0.944975;0.944975;1.34014;0;1095.8;0.944975;7618.83;1;1
0.160295;0.160297;-2.22984e-006;160.297;1.04496;1.04496;1.04496;-0.00222984;-0.521066;0.521066;0;160.295;-1.56603;-1095.9;1.40014;180.841;180.841;1.04496;1.04496;1.40014;0;1095.9;1.04496;7618.88;1;1
0.166342;0.166344;-2.22984e-006;166.344;1.07832;1.07832;1.07832;-0.00222984;-0.521066;0.521066;0;166.342;-1.59939;-1095.93;1.42014;181.689;181.689;1.07832;1.07832;1.42014;0;1095.93;1.07832;7618.9;1;1
0.184649;0.184651;-2.22984e-006;184.651;1.17837;1.17837;1.17837;-0.00222984;-0.521066;0.521066;0;184.649;-1.69945;-1096.03;1.48014;184.265;184.265;1.17837;1.17837;1.48014;0;1096.03;1.17837;7618.97;1;1
0.190803;0.190805;-2.22984e-006;190.805;1.21168;1.21168;1.21168;-0.00222984;-0.521066;0.521066;0;190.803;-1.73276;-1096.06;1.50014;185.218;185.218;1.21168;1.21168;1.50014;0;1096.06;1.21168;7618.99;1;1
0.209438;0.20944;-2.22984e-006;209.44;1.3116;1.3116;1.3116;-0.00222984;-0.521066;0.521066;0;209.438;-1.83267;-1096.16;1.56014;187.794;187.794;1.3116;1.3116;1.56014;0;1096.16;1.3116;7619.04;1;1
0.222808;0.22281;-2.22984e-006;222.81;1.38244;1.38244;1.38244;-0.00222984;-0.521066;0.521066;0;222.808;-1.90351;-1096.23;1.60264;189.665;189.665;1.38244;1.38244;1.60264;0;1096.23;1.38244;7619.09;1;1
0.228355;0.228357;-2.22984e-006;228.357;1.41163;1.41163;1.41163;-0.00222984;-0.521066;0.521066;0;228.355;-1.9327;-1096.26;1.62014;190.406;190.406;1.41163;1.41163;1.62014;0;1096.26;1.41163;7619.11;1;1
0.24753;0.247533;-2.22984e-006;247.533;1.51172;1.51172;1.51172;-0.00222984;-0.521066;0.521066;0;247.53;-2.03279;-1096.36;1.68014;192.771;192.771;1.51172;1.51172;1.68014;0;1096.36;1.51172;7619.16;1;1
0.260418;0.26042;-2.22984e-006;260.42;1.5783;1.5783;1.5783;-0.00222984;-0.521066;0.521066;0;260.418;-2.09938;-1096.43;1.72014;194.323;194.323;1.5783;1.5783;1.72014;0;1096.43;1.5783;7619.21;1;1
0.273417;0.273419;-2.22984e-006;273.419;1.64492;1.64492;1.64492;-0.00222984;-0.521066;0.521066;0;273.417;-2.166;-1096.5;1.76014;195.912;195.912;1.64492;1.64492;1.76014;0;1096.5;1.64492;7619.25;1;1
0.29313;0.293132;-2.22984e-006;293.132;1.74494;1.74494;1.74494;-0.00222984;-0.521066;0.521066;0;293.13;-2.26601;-1096.6;1.82014;198.276;198.276;1.74494;1.74494;1.82014;0;1096.6;1.74494;7619.3;1;1
0.313091;0.313093;-2.22984e-006;313.093;1.84504;1.84504;1.84504;-0.00222984;-0.521066;0.521066;0;313.091;-2.36612;-1096.7;1.88014;200.535;200.535;1.84504;1.84504;1.88014;0;1096.7;1.84504;7619.37;1;1
0.334083;0.334085;-2.22984e-006;334.085;1.94915;1.94915;1.94915;-0.00222984;-0.521066;0.521066;0;334.083;-2.47022;-1096.8;1.94264;202.758;202.758;1.94915;1.94915;1.94264;0;1096.8;1.94915;7619.43;1;1
0.360437;0.360439;-2.22984e-006;360.439;2.0783;2.0783;2.0783;-0.00222984;-0.521066;0.521066;0;360.437;-2.59938;-1096.93;2.02014;205.335;205.335;2.0783;2.0783;2.02014;0;1096.93;2.0783;7619.51;1;1
0.374174;0.374176;-2.22984e-006;374.176;2.14499;2.14499;2.14499;-0.00222984;-0.521066;0.521066;0;374.174;-2.66607;-1097;2.06014;206.641;206.641;2.14499;2.14499;2.06014;0;1097;2.14499;7619.55;1;1
0.381077;0.381079;-2.22984e-006;381.079;2.17834;2.17834;2.17834;-0.00222984;-0.521066;0.521066;0;381.077;-2.69941;-1097.03;2.08014;207.382;207.382;2.17834;2.17834;2.08014;0;1097.03;2.17834;7619.57;1;1
0.408907;0.40891;-2.22984e-006;408.91;2.31163;2.31163;2.31163;-0.00222984;-0.521066;0.521066;0;408.907;-2.8327;-1097.16;2.16014;210.205;210.205;2.31163;2.31163;2.16014;0;1097.16;2.31163;7619.64;1;1
