Arbeit;Arbeit (Belastung);Arbeit (Entlastung);Belastungsarbeit;Dehnung;Dehnung nominell;Dehnungskanal;Entlastungsarbeit;Höhenkanal;Höhenkanal normiert;Ist-Temperatur;Kanalintegration;LE-Kanal;Meßlänge;Prüfzeit;Standardkraft;Standardkraftsensor;Standardweg;Standardwegsensor;Systemzeit ;Temperatur;Traverse abs;Traversenwegaufnehmer;Zeit;Zyklus Start;Zyklusnummer
0.0;0.0;0.0;0.0;0.0;0.0;1091.36;0.0;0;0;0;0.0;2.97014;-1091.36;0.0;0.387274;0.387274;0.0;1091.36;2674.78;0;1091.36;1091.36;2674.78;0;0
0.0;0.0;0.0;0.0;0.0;0.0;1091.36;0.0;0;0;0;0.0;2.97014;-1091.36;0.0;0.457863;0.457863;0.0;1091.36;2679.54;0;1091.36;1091.36;2679.54;0;0
0.0;0.0;0.0;0.0;0.0;0.0;1091.36;0.0;0;0;0;0.0;2.97014;-1091.36;0.0;0.387274;0.387274;0.0;1091.36;2679.76;0;1091.36;1091.36;2679.76;0;0
0.0;0.0;0.0;0.0;0.0;0.0;1093.43;0.0;0;0;0;0.0;0.901899;-1093.43;0.0;349.134;349.134;0.0;1093.43;2681.56;0;1093.43;1093.43;2681.56;0;0
0.0;0.0;0.0;0.0;0.0;0.0;1093.44;0.0;0;0;0;0.0;0.893477;-1093.44;0.0;374.299;374.299;0.0;1093.44;2681.62;0;1093.44;1093.44;2681.62;0;0
0.0;0.0;0.0;0.0;0.0;0.0;5.06306e-005;0.0;0;0;0;0.0;0.88952;-1093.44;0.0;385.876;385.876;0.0;5.06306e-005;2681.68;0;1093.44;5.06306e-005;2681.68;0;0
0.0;0.0;0.0;0.0;0.0;0.0;0.000740286;0.0;0.88952;-0.88952;0;0.0;0.88883;-1093.44;0.0;388.1;388.1;0.0;0.000740286;0.000107422;0;1093.44;0.000740286;2681.7;0;0
0;0;0;0;0.00122304;0.00122304;0.00122304;0;0.88952;-0.88952;0;0;0.888347;-1093.44;0.0201074;389.688;389.688;0.00122304;0.00122304;0.0201074;0;1093.44;0.00122304;2681.72;0;0
0.00043185;0.00043185;0;0.43185;0.00232649;0.00232649;0.00232649;0;0.88952;-0.88952;0;0.43185;0.887244;-1093.44;0.100107;393.041;393.041;0.00232649;0.00232649;0.100107;0;1093.44;0.00232649;2681.8;0;0
0.000486094;0.000486094;0;0.486094;0.00246442;0.00246442;0.00246442;0;0.88952;-0.88952;0;0.486094;0.887106;-1093.44;0.120107;393.5;393.5;0.00246442;0.00246442;0.120107;0;1093.44;0.00246442;2681.82;1;1
