Arbeit;Arbeit (Belastung);Arbeit (Entlastung);Belastungsarbeit;Dehnung;Dehnung nominell;Dehnungskanal;Entlastungsarbeit;Höhenkanal;Höhenkanal normiert;Ist-Temperatur;Kanalintegration;LE-Kanal;Meßlänge;Prüfzeit;Standardkraft;Standardkraftsensor;Standardweg;Standardwegsensor;Systemzeit ;Temperatur;Traverse abs;Traversenwegaufnehmer;Zeit;Zyklus Start;Zyklusnummer
0.0;0.0;0.0;0.0;0.0;0.0;1059.02;0.0;0;0;0;0.0;8.9801;-1059.02;0.0;0.141171;0.141171;0.0;1059.02;922.185;0;1059.02;1059.02;922.185;0;0
0.0;0.0;0.0;0.0;0.0;0.0;1059.02;0.0;0;0;0;0.0;8.9801;-1059.02;0.0;0.423514;0.423514;0.0;1059.02;923.385;0;1059.02;1059.02;923.385;0;0
0.0;0.0;0.0;0.0;0.0;0.0;1059.02;0.0;0;0;0;0.0;8.9801;-1059.02;0.0;0.423514;0.423514;0.0;1059.02;923.605;0;1059.02;1059.02;923.605;0;0
0.0;0.0;0.0;0.0;0.0;0.0;1062.07;0.0;0;0;0;0.0;5.92834;-1062.07;0.0;3.88221;3.88221;0.0;1062.07;926.005;0;1062.07;1062.07;926.005;0;0
0.0;0.0;0.0;0.0;0.0;0.0;1062.08;0.0;0;0;0;0.0;5.92029;-1062.08;0.0;4.02338;4.02338;0.0;1062.08;926.065;0;1062.08;1062.08;926.065;0;0
0.0;0.0;0.0;0.0;0.0;0.0;-5.10747e-005;0.0;0;0;0;0.0;5.91643;-1062.08;0.0;3.91751;3.91751;0.0;-5.10747e-005;926.125;0;1062.08;-5.10747e-005;926.125;0;0
0.0;0.0;0.0;0.0;0.0;0.0;0.000673063;0.0;5.91643;-5.91643;0;0.0;5.91571;-1062.08;0.0;3.88221;3.88221;0.0;0.000673063;-1.95312e-005;0;1062.08;0.000673063;926.145;0;0
0;0;0;0;0.00125927;0.00125927;0.00125927;0;5.91643;-5.91643;0;0;5.91512;-1062.08;0.0199805;3.91751;3.91751;0.00125927;0.00125927;0.0199805;0;1062.08;0.00125927;926.165;0;0
1.83188e-006;1.83188e-006;0;0.00183188;0.00172479;0.00172479;0.00172479;0;5.91643;-5.91643;0;0.00183188;5.91466;-1062.09;0.0399805;3.9528;3.9528;0.00172479;0.00172479;0.0399805;0;1062.09;0.00172479;926.185;0;0
4.51353e-006;4.51353e-006;0;0.00451353;0.0023972;0.0023972;0.0023972;0;5.91643;-5.91643;0;0.00451353;5.91398;-1062.09;0.0999805;4.02338;4.02338;0.0023972;0.0023972;0.0999805;0;1062.09;0.0023972;926.245;0;0
4.92792e-006;4.92792e-006;0;0.00492792;0.00250065;0.00250065;0.00250065;0;5.91643;-5.91643;0;0.00492792;5.91388;-1062.09;0.11998;3.98809;3.98809;0.00250065;0.00250065;0.11998;0;1062.09;0.00250065;926.265;1;1
5.20296e-006;5.20296e-006;0;0.00520296;0.00256961;0.00256961;0.00256961;0;5.91643;-5.91643;0;0.00520296;5.91381;-1062.09;0.13998;3.98809;3.98809;0.00256961;0.00256961;0.13998;0;1062.09;0.00256961;926.285;1;1
5.47678e-006;5.47678e-006;0;0.00547678;0.00263858;0.00263858;0.00263858;0;5.91643;-5.91643;0;0.00547678;5.91374;-1062.09;0.15998;3.9528;3.9528;0.00263858;0.00263858;0.15998;0;1062.09;0.00263858;926.305;1;1
6.36671e-006;6.36671e-006;0;0.00636671;0.00286272;0.00286272;0.00286272;0;5.91643;-5.91643;0;0.00636671;5.91352;-1062.09;0.27998;3.98809;3.98809;0.00286272;0.00286272;0.27998;0;1062.09;0.00286272;926.425;1;1
6.57116e-006;6.57116e-006;0;0.00657116;0.00291444;0.00291444;0.00291444;0;5.91643;-5.91643;0;0.00657116;5.91347;-1062.09;0.39998;3.91751;3.91751;0.00291444;0.00291444;0.39998;0;1062.09;0.00291444;926.545;1;1
6.57116e-006;6.57116e-006;0;0.00657116;0.00291444;0.00291444;0.00291444;0;5.91643;-5.91643;0;0.00657116;5.91347;-1062.09;0.51998;3.91751;3.91751;0.00291444;0.00291444;0.51998;0;1062.09;0.00291444;926.665;1;1
6.63871e-006;6.63871e-006;0;0.00663871;0.00293168;0.00293168;0.00293168;0;5.91643;-5.91643;0;0.00663871;5.91345;-1062.09;0.61998;3.91751;3.91751;0.00293168;0.00293168;0.61998;0;1062.09;0.00293168;926.765;1;1
8.06016e-005;8.06016e-005;0;0.0806016;0.0219834;0.0219834;0.0219834;0;5.91643;-5.91643;0;0.0806016;5.8944;-1062.11;0.71998;3.84692;3.84692;0.0219834;0.0219834;0.71998;0;1062.11;0.0219834;926.865;1;1
