Arbeit;Arbeit (Belastung);Arbeit (Entlastung);Belastungsarbeit;Dehnung;Dehnung nominell;Dehnungskanal;Entlastungsarbeit;Höhenkanal;Höhenkanal normiert;Ist-Temperatur;Kanalintegration;LE-Kanal;Meßlänge;Prüfzeit;Standardkraft;Standardkraftsensor;Standardweg;Standardwegsensor;Systemzeit ;Temperatur;Traverse abs;Traversenwegaufnehmer;Zeit;Zyklus Start;Zyklusnummer
0.0;0.0;0.0;0.0;0.0;0.0;1091.36;0.0;0;0;0;0.0;2.97014;-1091.36;0.0;-0.0352897;-0.0352897;0.0;1091.36;18888.8;0;1091.36;1091.36;18888.8;0;0
0.0;0.0;0.0;0.0;0.0;0.0;1091.36;0.0;0;0;0;0.0;2.97014;-1091.36;0.0;-0.0352897;-0.0352897;0.0;1091.36;18890.9;0;1091.36;1091.36;18890.9;0;0
0.0;0.0;0.0;0.0;0.0;0.0;1091.36;0.0;0;0;0;0.0;2.97014;-1091.36;0.0;0.0705944;0.0705944;0.0;1091.36;18891.1;0;1091.36;1091.36;18891.1;0;0
0.0;0.0;0.0;0.0;0.0;0.0;1092.83;0.0;0;0;0;0.0;1.50444;-1092.83;0.0;776.589;776.589;0.0;1092.83;18892.5;0;1092.83;1092.83;18892.5;0;0
0.0;0.0;0.0;0.0;0.0;0.0;1092.84;0.0;0;0;0;0.0;1.49455;-1092.84;0.0;839.343;839.343;0.0;1092.84;18892.6;0;1092.84;1092.84;18892.6;0;0
0.0;0.0;0.0;0.0;0.0;0.0;3.17499e-005;0.0;0;0;0;0.0;1.49;-1092.84;0.0;861.473;861.473;0.0;3.17499e-005;18892.7;0;1092.84;3.17499e-005;18892.7;0;0
0.0;0.0;0.0;0.0;0.0;0.0;0.000893819;0.0;1.49;-1.49;0;0.0;1.48914;-1092.84;0.0;865.038;865.038;0.0;0.000893819;0.000859375;0;1092.84;0.000893819;18892.7;0;0
0;0;0;0;0.00149727;0.00149727;0.00149727;0;1.49;-1.49;0;0;1.48854;-1092.84;0.0208594;867.403;867.403;0.00149727;0.00149727;0.0208594;0;1092.84;0.00149727;18892.7;0;0
0.00109306;0.00109306;0;1.09306;0.00275589;0.00275589;0.00275589;0;1.49;-1.49;0;1.09306;1.48728;-1092.84;0.100859;869.52;869.52;0.00275589;0.00275589;0.100859;0;1092.84;0.00275589;18892.8;0;0
0.00119799;0.00119799;0;1.19799;0.00287658;0.00287658;0.00287658;0;1.49;-1.49;0;1.19799;1.48716;-1092.84;0.120859;869.238;869.238;0.00287658;0.00287658;0.120859;0;1092.84;0.00287658;18892.8;1;1
0.00130288;0.00130288;0;1.30288;0.00299727;0.00299727;0.00299727;0;1.49;-1.49;0;1.30288;1.48704;-1092.84;0.140859;868.956;868.956;0.00299727;0.00299727;0.140859;0;1092.84;0.00299727;18892.8;1;1
0.00151241;0.00151241;0;1.51241;0.00323865;0.00323865;0.00323865;0;1.49;-1.49;0;1.51241;1.4868;-1092.84;0.220859;867.191;867.191;0.00323865;0.00323865;0.220859;0;1092.84;0.00323865;18892.9;1;1
0.00160198;0.00160198;0;1.60198;0.00334209;0.00334209;0.00334209;0;1.49;-1.49;0;1.60198;1.48669;-1092.84;0.340859;864.367;864.367;0.00334209;0.00334209;0.340859;0;1092.84;0.00334209;18893;1;1
0.00163175;0.00163175;0;1.63175;0.00337658;0.00337658;0.00337658;0;1.49;-1.49;0;1.63175;1.48666;-1092.84;0.440859;862.638;862.638;0.00337658;0.00337658;0.440859;0;1092.84;0.00337658;18893.1;1;1
0.00163175;0.00163175;0;1.63175;0.00337658;0.00337658;0.00337658;0;1.49;-1.49;0;1.63175;1.48666;-1092.84;0.560859;861.226;861.226;0.00337658;0.00337658;0.560859;0;1092.84;0.00337658;18893.2;1;1
0.00163175;0.00163175;0;1.63175;0.00337658;0.00337658;0.00337658;0;1.49;-1.49;0;1.63175;1.48666;-1092.84;0.680859;876.156;876.156;0.00337658;0.00337658;0.680859;0;1092.84;0.00337658;18893.4;1;1
0.0780668;0.0780668;0;78.0668;0.0742042;0.0742042;0.0742042;0;1.49;-1.49;0;78.0668;1.41583;-1092.91;0.780859;1282.19;1282.19;0.0742042;0.0742042;0.780859;0;1092.91;0.0742042;18893.5;1;1
0.262985;0.262985;0;262.985;0.199911;0.199911;0.199911;0;1.49;-1.49;0;262.985;1.29012;-1093.04;0.880859;1659.87;1659.87;0.199911;0.199911;0.880859;0;1093.04;0.199911;18893.6;1;1
0.306724;0.306724;0;306.724;0.225946;0.225946;0.225946;0;1.49;-1.49;0;306.724;1.26409;-1093.07;0.900859;1700.15;1700.15;0.225946;0.225946;0.900859;0;1093.07;0.225946;18893.6;1;1
0.444324;0.444324;0;444.324;0.304911;0.304911;0.304911;0;1.49;-1.49;0;444.324;1.18512;-1093.14;0.960859;1784.92;1784.92;0.304911;0.304911;0.960859;0;1093.14;0.304911;18893.6;1;1
0.588546;0.588546;0;588.546;0.384428;0.384428;0.384428;0;1.49;-1.49;0;588.546;1.10561;-1093.22;1.02086;1842.52;1842.52;0.384428;0.384428;1.02086;0;1093.22;0.384428;18893.7;1;1
0.637782;0.637782;0;637.782;0.411032;0.411032;0.411032;0;1.49;-1.49;0;637.782;1.079;-1093.25;1.04086;1858.97;1858.97;0.411032;0.411032;1.04086;0;1093.25;0.411032;18893.7;1;1
0.838902;0.838902;0;838.902;0.517497;0.517497;0.517497;0;1.49;-1.49;0;838.902;0.972537;-1093.36;1.12086;1919.15;1919.15;0.517497;0.517497;1.12086;0;1093.36;0.517497;18893.8;1;1
1.04606;1.04606;0;1046.06;0.623997;0.623997;0.623997;0;1.49;-1.49;0;1046.06;0.866037;-1093.46;1.20086;1971.17;1971.17;0.623997;0.623997;1.20086;0;1093.46;0.623997;18893.9;1;1
1.15178;1.15178;0;1151.78;0.677308;0.677308;0.677308;0;1.49;-1.49;0;1151.78;0.812727;-1093.52;1.24086;1994.79;1994.79;0.677308;0.677308;1.24086;0;1093.52;0.677308;18893.9;1;1
1.25895;1.25895;0;1258.95;0.730739;0.730739;0.730739;0;1.49;-1.49;0;1258.95;0.759296;-1093.57;1.28086;2016.74;2016.74;0.730739;0.730739;1.28086;0;1093.57;0.730739;18894;1;1
1.47607;1.47607;0;1476.07;0.837342;0.837342;0.837342;0;1.49;-1.49;0;1476.07;0.652692;-1093.68;1.36086;2056.69;2056.69;0.837342;0.837342;1.36086;0;1093.68;0.837342;18894;1;1
1.69721;1.69721;0;1697.21;0.943911;0.943911;0.943911;0;1.49;-1.49;0;1697.21;0.546123;-1093.78;1.44086;2093.61;2093.61;0.943911;0.943911;1.44086;0;1093.78;0.943911;18894.1;1;1
1.75325;1.75325;0;1753.25;0.970618;0.970618;0.970618;0;1.49;-1.49;0;1753.25;0.519416;-1093.81;1.46086;2102.51;2102.51;0.970618;0.970618;1.46086;0;1093.81;0.970618;18894.1;1;1
1.92259;1.92259;0;1922.59;1.05067;1.05067;1.05067;0;1.49;-1.49;0;1922.59;0.439365;-1093.89;1.52086;2128.38;2128.38;1.05067;1.05067;1.52086;0;1093.89;1.05067;18894.2;1;1
2.094;2.094;0;2094;1.13074;1.13074;1.13074;0;1.49;-1.49;0;2094;0.359296;-1093.97;1.58086;2153.19;2153.19;1.13074;1.13074;1.58086;0;1093.97;1.13074;18894.3;1;1
2.1515;2.1515;0;2151.5;1.15739;1.15739;1.15739;0;1.49;-1.49;0;2151.5;0.33264;-1094;1.60086;2161.2;2161.2;1.15739;1.15739;1.60086;0;1094;1.15739;18894.3;1;1
2.3834;2.3834;0;2383.4;1.26393;1.26393;1.26393;0;1.49;-1.49;0;2383.4;0.226106;-1094.1;1.68086;2192.37;2192.37;1.26393;1.26393;1.68086;0;1094.1;1.26393;18894.4;1;1
2.44191;2.44191;0;2441.91;1.29057;1.29057;1.29057;0;1.49;-1.49;0;2441.91;0.199468;-1094.13;1.70086;2199.99;2199.99;1.29057;1.29057;1.70086;0;1094.13;1.29057;18894.4;1;1
2.61889;2.61889;0;2618.89;1.3706;1.3706;1.3706;0;1.49;-1.49;0;2618.89;0.119433;-1094.21;1.76086;2222.68;2222.68;1.3706;1.3706;1.76086;0;1094.21;1.3706;18894.4;1;1
2.73811;2.73811;0;2738.11;1.42407;1.42407;1.42407;0;1.49;-1.49;0;2738.11;0.065968;-1094.26;1.80086;2237.26;2237.26;1.42407;1.42407;1.80086;0;1094.26;1.42407;18894.5;1;1
