Arbeit;Arbeit (Belastung);Arbeit (Entlastung);Belastungsarbeit;Dehnung;Dehnung nominell;Dehnungskanal;Entlastungsarbeit;Höhenkanal;Höhenkanal normiert;Ist-Temperatur;Kanalintegration;LE-Kanal;Meßlänge;Prüfzeit;Standardkraft;Standardkraftsensor;Standardweg;Standardwegsensor;Systemzeit ;Temperatur;Traverse abs;Traversenwegaufnehmer;Zeit;Zyklus Start;Zyklusnummer
0.0;0.0;0.0;0.0;0.0;0.0;1091.36;0.0;0;0;0;0.0;2.97014;-1091.36;0.0;-0.317625;-0.317625;0.0;1091.36;27812.8;0;1091.36;1091.36;27812.8;0;0
0.0;0.0;0.0;0.0;0.0;0.0;1091.36;0.0;0;0;0;0.0;2.97014;-1091.36;0.0;-0.317625;-0.317625;0.0;1091.36;27823;0;1091.36;1091.36;27823;0;0
0.0;0.0;0.0;0.0;0.0;0.0;1091.36;0.0;0;0;0;0.0;2.97014;-1091.36;0.0;-0.38821;-0.38821;0.0;1091.36;27823.2;0;1091.36;1091.36;27823.2;0;0
0.0;0.0;0.0;0.0;0.0;0.0;1093.69;0.0;0;0;0;0.0;0.636885;-1093.69;0.0;186.663;186.663;0.0;1093.69;27825.2;0;1093.69;1093.69;27825.2;0;0
0.0;0.0;0.0;0.0;0.0;0.0;1093.7;0.0;0;0;0;0.0;0.627852;-1093.7;0.0;198.98;198.98;0.0;1093.7;27825.2;0;1093.7;1093.7;27825.2;0;0
0.0;0.0;0.0;0.0;0.0;0.0;-1.09313e-005;0.0;0;0;0;0.0;0.623468;-1093.71;0.0;203.497;203.497;0.0;-1.09313e-005;27825.3;0;1093.71;-1.09313e-005;27825.3;0;0
0.0;0.0;0.0;0.0;0.0;0.0;0.000816655;0.0;0.623468;-0.623468;0;0.0;0.62264;-1093.71;0.0;204.238;204.238;0.0;0.000816655;-0.000234375;0;1093.71;0.000816655;27825.3;0;0
0;0;0;0;0.00145459;0.00145459;0.00145459;0;0.623468;-0.623468;0;0;0.622002;-1093.71;0.0197656;204.627;204.627;0.00145459;0.00145459;0.0197656;0;1093.71;0.00145459;27825.3;0;0
0.000233092;0.000233092;0;0.233092;0.00259252;0.00259252;0.00259252;0;0.623468;-0.623468;0;0.233092;0.620865;-1093.71;0.0797656;205.05;205.05;0.00259252;0.00259252;0.0797656;0;1093.71;0.00259252;27825.4;0;0
0.000271974;0.000271974;0;0.271974;0.00278217;0.00278217;0.00278217;0;0.623468;-0.623468;0;0.271974;0.620675;-1093.71;0.0997656;204.979;204.979;0.00278217;0.00278217;0.0997656;0;1093.71;0.00278217;27825.4;0;0
0.00030024;0.00030024;0;0.30024;0.0029201;0.0029201;0.0029201;0;0.623468;-0.623468;0;0.30024;0.620537;-1093.71;0.119766;204.874;204.874;0.0029201;0.0029201;0.119766;0;1093.71;0.0029201;27825.4;1;1
0.000328484;0.000328484;0;0.328484;0.00305803;0.00305803;0.00305803;0;0.623468;-0.623468;0;0.328484;0.620399;-1093.71;0.139766;204.662;204.662;0.00305803;0.00305803;0.139766;0;1093.71;0.00305803;27825.4;1;1
0.000363752;0.000363752;0;0.363752;0.00323045;0.00323045;0.00323045;0;0.623468;-0.623468;0;0.363752;0.620227;-1093.71;0.179766;204.45;204.45;0.00323045;0.00323045;0.179766;0;1093.71;0.00323045;27825.5;1;1
0.000402446;0.000402446;0;0.402446;0.0034201;0.0034201;0.0034201;0;0.623468;-0.623468;0;0.402446;0.620037;-1093.71;0.299766;203.603;203.603;0.0034201;0.0034201;0.299766;0;1093.71;0.0034201;27825.6;1;1
0.000416469;0.000416469;0;0.416469;0.00348907;0.00348907;0.00348907;0;0.623468;-0.623468;0;0.416469;0.619968;-1093.71;0.419766;203.038;203.038;0.00348907;0.00348907;0.419766;0;1093.71;0.00348907;27825.7;1;1
0.000419966;0.000419966;0;0.419966;0.00350631;0.00350631;0.00350631;0;0.623468;-0.623468;0;0.419966;0.619951;-1093.71;0.519766;202.615;202.615;0.00350631;0.00350631;0.519766;0;1093.71;0.00350631;27825.8;1;1
0.000416475;0.000419966;-3.49031e-006;0.419966;0.00348907;0.00348907;0.00348907;-0.00349031;0.623468;-0.623468;0;0.416475;0.619968;-1093.71;0.639766;202.262;202.262;0.00348907;0.00348907;0.639766;0;1093.71;0.00348907;27825.9;1;1
0.00891479;0.00891828;-3.49031e-006;8.91828;0.0404891;0.0404891;0.0404891;-0.00349031;0.623468;-0.623468;0;8.91479;0.582968;-1093.75;0.759766;257.107;257.107;0.0404891;0.0404891;0.759766;0;1093.75;0.0404891;27826.1;1;1
0.0297209;0.0297244;-3.49031e-006;29.7244;0.111299;0.111299;0.111299;-0.00349031;0.623468;-0.623468;0;29.7209;0.512158;-1093.82;0.819766;330.551;330.551;0.111299;0.111299;0.819766;0;1093.82;0.111299;27826.1;1;1
0.0474154;0.0474189;-3.49031e-006;47.4189;0.161713;0.161713;0.161713;-0.00349031;0.623468;-0.623468;0;47.4154;0.461744;-1093.87;0.859766;371.419;371.419;0.161713;0.161713;0.859766;0;1093.87;0.161713;27826.2;1;1
0.0674327;0.0674362;-3.49031e-006;67.4362;0.213282;0.213282;0.213282;-0.00349031;0.623468;-0.623468;0;67.4327;0.410175;-1093.92;0.899766;404.912;404.912;0.213282;0.213282;0.899766;0;1093.92;0.213282;27826.2;1;1
0.112498;0.112501;-3.49031e-006;112.501;0.318317;0.318317;0.318317;-0.00349031;0.623468;-0.623468;0;112.498;0.30514;-1094.02;0.979766;453.192;453.192;0.318317;0.318317;0.979766;0;1094.02;0.318317;27826.3;1;1
0.162133;0.162136;-3.49031e-006;162.136;0.424282;0.424282;0.424282;-0.00349031;0.623468;-0.623468;0;162.133;0.199175;-1094.13;1.05977;483.615;483.615;0.424282;0.424282;1.05977;0;1094.13;0.424282;27826.4;1;1
0.188202;0.188206;-3.49031e-006;188.206;0.477575;0.477575;0.477575;-0.00349031;0.623468;-0.623468;0;188.202;0.145882;-1094.18;1.09977;494.732;494.732;0.477575;0.477575;1.09977;0;1094.18;0.477575;27826.4;1;1
0.21483;0.214834;-3.49031e-006;214.834;0.530886;0.530886;0.530886;-0.00349031;0.623468;-0.623468;0;214.83;0.0925714;-1094.24;1.13977;504.261;504.261;0.530886;0.530886;1.13977;0;1094.24;0.530886;27826.4;1;1
0.255664;0.255668;-3.49031e-006;255.668;0.610903;0.610903;0.610903;-0.00349031;0.623468;-0.623468;0;255.664;0.0125542;-1094.32;1.19977;516.366;516.366;0.610903;0.610903;1.19977;0;1094.32;0.610903;27826.5;1;1
0.269439;0.269442;-3.49031e-006;269.442;0.637489;0.637489;0.637489;-0.00349031;0.623468;-0.623468;0;269.439;-0.014032;-1094.34;1.21977;519.825;519.825;0.637489;0.637489;1.21977;0;1094.34;0.637489;27826.5;1;1
0.325421;0.325425;-3.49031e-006;325.425;0.744024;0.744024;0.744024;-0.00349031;0.623468;-0.623468;0;325.421;-0.120567;-1094.45;1.29977;531.154;531.154;0.744024;0.744024;1.29977;0;1094.45;0.744024;27826.6;1;1
0.33962;0.339624;-3.49031e-006;339.624;0.770696;0.770696;0.770696;-0.00349031;0.623468;-0.623468;0;339.62;-0.147239;-1094.48;1.31977;533.554;533.554;0.770696;0.770696;1.31977;0;1094.48;0.770696;27826.6;1;1
0.382606;0.38261;-3.49031e-006;382.61;0.850782;0.850782;0.850782;-0.00349031;0.623468;-0.623468;0;382.606;-0.227325;-1094.56;1.37977;539.942;539.942;0.850782;0.850782;1.37977;0;1094.56;0.850782;27826.7;1;1
