Arbeit;Arbeit (Belastung);Arbeit (Entlastung);Belastungsarbeit;Dehnung;Dehnung nominell;Dehnungskanal;Entlastungsarbeit;Höhenkanal;Höhenkanal normiert;Ist-Temperatur;Kanalintegration;LE-Kanal;Meßlänge;Prüfzeit;Standardkraft;Standardkraftsensor;Standardweg;Standardwegsensor;Systemzeit ;Temperatur;Traverse abs;Traversenwegaufnehmer;Zeit;Zyklus Start;Zyklusnummer
0.0;0.0;0.0;0.0;0.0;0.0;1059.75;0.0;0;0;0;0.0;7.84658;-1059.75;0.0;0.0706243;0.0706243;0.0;1059.75;371.965;0;1059.75;1059.75;371.965;0;0
0.0;0.0;0.0;0.0;0.0;0.0;1059.75;0.0;0;0;0;0.0;7.84658;-1059.75;0.0;0.0353308;0.0353308;0.0;1059.75;373.765;0;1059.75;1059.75;373.765;0;0
0.0;0.0;0.0;0.0;0.0;0.0;1059.75;0.0;0;0;0;0.0;7.84658;-1059.75;0.0;0.105918;0.105918;0.0;1059.75;373.985;0;1059.75;1059.75;373.985;0;0
0.0;0.0;0.0;0.0;0.0;0.0;1063.77;0.0;0;0;0;0.0;3.8323;-1063.77;0.0;3.88232;3.88232;0.0;1063.77;376.945;0;1063.77;1063.77;376.945;0;0
0.0;0.0;0.0;0.0;0.0;0.0;1063.78;0.0;0;0;0;0.0;3.82131;-1063.78;0.0;4.0235;4.0235;0.0;1063.78;377.005;0;1063.78;1063.78;377.005;0;0
0.0;0.0;0.0;0.0;0.0;0.0;1.63449e-005;0.0;0;0;0;0.0;3.81654;-1063.78;0.0;4.16467;4.16467;0.0;1.63449e-005;377.065;0;1063.78;1.63449e-005;377.065;0;0
0.0;0.0;0.0;0.0;0.0;0.0;0.000878414;0.0;3.81654;-3.81654;0;0.0;3.81567;-1063.78;0.0;4.16467;4.16467;0.0;0.000878414;8.54492e-006;0;1063.78;0.000878414;377.085;0;0
0;0;0;0;0.00151634;0.00151634;0.00151634;0;3.81654;-3.81654;0;0;3.81504;-1063.78;0.0200085;4.16467;4.16467;0.00151634;0.00151634;0.0200085;0;1063.78;0.00151634;377.105;0;0
3.30301e-006;3.30301e-006;0;0.00330301;0.00230945;0.00230945;0.00230945;0;3.81654;-3.81654;0;0.00330301;3.81424;-1063.79;0.0600085;4.16467;4.16467;0.00230945;0.00230945;0.0600085;0;1063.79;0.00230945;377.145;0;0
5.30503e-006;5.30503e-006;0;0.00530503;0.00279221;0.00279221;0.00279221;0;3.81654;-3.81654;0;0.00530503;3.81376;-1063.79;0.102509;4.12938;4.12938;0.00279221;0.00279221;0.102509;0;1063.79;0.00279221;377.188;0;0
