Arbeit;Arbeit (Belastung);Arbeit (Entlastung);Belastungsarbeit;Dehnung;Dehnung nominell;Dehnungskanal;Entlastungsarbeit;Höhenkanal;Höhenkanal normiert;Ist-Temperatur;Kanalintegration;LE-Kanal;Meßlänge;Prüfzeit;Standardkraft;Standardkraftsensor;Standardweg;Standardwegsensor;Systemzeit ;Temperatur;Traverse abs;Traversenwegaufnehmer;Zeit;Zyklus Start;Zyklusnummer
0.0;0.0;0.0;0.0;0.0;0.0;1059.75;0.0;0;0;0;0.0;7.84683;-1059.75;0.0;0.282346;0.282346;0.0;1059.75;6859.16;0;1059.75;1059.75;6859.16;0;0
0.0;0.0;0.0;0.0;0.0;0.0;1059.75;0.0;0;0;0;0.0;7.84683;-1059.75;0.0;0.282346;0.282346;0.0;1059.75;6864.32;0;1059.75;1059.75;6864.32;0;0
0.0;0.0;0.0;0.0;0.0;0.0;1059.75;0.0;0;0;0;0.0;7.84683;-1059.75;0.0;0.211761;0.211761;0.0;1059.75;6864.54;0;1059.75;1059.75;6864.54;0;0
0.0;0.0;0.0;0.0;0.0;0.0;1063.77;0.0;0;0;0;0.0;3.82815;-1063.77;0.0;3.95277;3.95277;0.0;1063.77;6867.5;0;1063.77;1063.77;6867.5;0;0
0.0;0.0;0.0;0.0;0.0;0.0;1063.78;0.0;0;0;0;0.0;3.81973;-1063.78;0.0;4.16453;4.16453;0.0;1063.78;6867.56;0;1063.78;1063.78;6867.56;0;0
0.0;0.0;0.0;0.0;0.0;0.0;-2.50412e-005;0.0;0;0;0;0.0;3.81597;-1063.78;0.0;4.23511;4.23511;0.0;-2.50412e-005;6867.62;0;1063.78;-2.50412e-005;6867.62;0;0
0.0;0.0;0.0;0.0;0.0;0.0;0.000647373;0.0;3.81597;-3.81597;0;0.0;3.8153;-1063.78;0.0;4.23511;4.23511;0.0;0.000647373;-7.8125e-005;0;1063.78;0.000647373;6867.64;0;0
0;0;0;0;0.00113013;0.00113013;0.00113013;0;3.81597;-3.81597;0;0;3.81481;-1063.79;0.0199219;4.23511;4.23511;0.00113013;0.00113013;0.0199219;0;1063.79;0.00113013;6867.66;0;0
3.51952e-006;3.51952e-006;0;0.00351952;0.00195772;0.00195772;0.00195772;0;3.81597;-3.81597;0;0.00351952;3.81398;-1063.79;0.0799219;4.2704;4.2704;0.00195772;0.00195772;0.0799219;0;1063.79;0.00195772;6867.72;0;0
4.18217e-006;4.18217e-006;0;0.00418217;0.00211289;0.00211289;0.00211289;0;3.81597;-3.81597;0;0.00418217;3.81383;-1063.79;0.0999219;4.2704;4.2704;0.00211289;0.00211289;0.0999219;0;1063.79;0.00211289;6867.74;0;0
4.77363e-006;4.77363e-006;0;0.00477363;0.00225082;0.00225082;0.00225082;0;3.81597;-3.81597;0;0.00477363;3.81369;-1063.79;0.119922;4.3057;4.3057;0.00225082;0.00225082;0.119922;0;1063.79;0.00225082;6867.76;1;1
5.14329e-006;5.14329e-006;0;0.00514329;0.00233703;0.00233703;0.00233703;0;3.81597;-3.81597;0;0.00514329;3.81361;-1063.79;0.139922;4.2704;4.2704;0.00233703;0.00233703;0.139922;0;1063.79;0.00233703;6867.78;1;1
5.65442e-006;5.65442e-006;0;0.00565442;0.00245772;0.00245772;0.00245772;0;3.81597;-3.81597;0;0.00565442;3.81348;-1063.79;0.179922;4.19982;4.19982;0.00245772;0.00245772;0.179922;0;1063.79;0.00245772;6867.82;1;1
6.16342e-006;6.16342e-006;0;0.00616342;0.00257841;0.00257841;0.00257841;0;3.81597;-3.81597;0;0.00616342;3.81336;-1063.79;0.279922;4.23511;4.23511;0.00257841;0.00257841;0.279922;0;1063.79;0.00257841;6867.92;1;1
6.31007e-006;6.31007e-006;0;0.00631007;0.00261289;0.00261289;0.00261289;0;3.81597;-3.81597;0;0.00631007;3.81333;-1063.79;0.399922;4.2704;4.2704;0.00261289;0.00261289;0.399922;0;1063.79;0.00261289;6868.04;1;1
6.31007e-006;6.31007e-006;0;0.00631007;0.00261289;0.00261289;0.00261289;0;3.81597;-3.81597;0;0.00631007;3.81333;-1063.79;0.519922;4.3057;4.3057;0.00261289;0.00261289;0.519922;0;1063.79;0.00261289;6868.16;1;1
6.23644e-006;6.31007e-006;-7.36275e-008;0.00631007;0.00259565;0.00259565;0.00259565;-7.36275e-005;3.81597;-3.81597;0;0.00623644;3.81335;-1063.79;0.639922;4.23511;4.23511;0.00259565;0.00259565;0.639922;0;1063.79;0.00259565;6868.28;1;1
0.000125635;0.000125708;-7.36275e-008;0.125708;0.0289232;0.0289232;0.0289232;-7.36275e-005;3.81597;-3.81597;0;0.125635;3.78702;-1063.81;0.759922;4.83508;4.83508;0.0289232;0.0289232;0.759922;0;1063.81;0.0289232;6868.4;1;1
0.000228825;0.000228899;-7.36275e-008;0.228899;0.0497336;0.0497336;0.0497336;-7.36275e-005;3.81597;-3.81597;0;0.228825;3.76621;-1063.83;0.779922;5.08213;5.08213;0.0497336;0.0497336;0.779922;0;1063.83;0.0497336;6868.42;1;1
0.000810802;0.000810876;-7.36275e-008;0.810876;0.147889;0.147889;0.147889;-7.36275e-005;3.81597;-3.81597;0;0.810802;3.66805;-1063.93;0.859922;6.77617;6.77617;0.147889;0.147889;0.859922;0;1063.93;0.147889;6868.5;1;1
0.000990742;0.000990815;-7.36275e-008;0.990815;0.173509;0.173509;0.173509;-7.36275e-005;3.81597;-3.81597;0;0.990742;3.64243;-1063.96;0.879922;7.27027;7.27027;0.173509;0.173509;0.879922;0;1063.96;0.173509;6868.52;1;1
0.0018427;0.00184277;-7.36275e-008;1.84277;0.277785;0.277785;0.277785;-7.36275e-005;3.81597;-3.81597;0;1.8427;3.53816;-1064.06;0.959922;9.07019;9.07019;0.277785;0.277785;0.959922;0;1064.06;0.277785;6868.6;1;1
0.00208864;0.00208872;-7.36275e-008;2.08872;0.304182;0.304182;0.304182;-7.36275e-005;3.81597;-3.81597;0;2.08864;3.51176;-1064.09;0.979922;9.56428;9.56428;0.304182;0.304182;0.979922;0;1064.09;0.304182;6868.62;1;1
0.00290476;0.00290484;-7.36275e-008;2.90484;0.383647;0.383647;0.383647;-7.36275e-005;3.81597;-3.81597;0;2.90476;3.4323;-1064.17;1.03992;10.976;10.976;0.383647;0.383647;1.03992;0;1064.17;0.383647;6868.68;1;1
0.0038375;0.00383757;-7.36275e-008;3.83757;0.463492;0.463492;0.463492;-7.36275e-005;3.81597;-3.81597;0;3.8375;3.35245;-1064.25;1.09992;12.3877;12.3877;0.463492;0.463492;1.09992;0;1064.25;0.463492;6868.74;1;1
0.00417453;0.00417461;-7.36275e-008;4.17461;0.49013;0.49013;0.49013;-7.36275e-005;3.81597;-3.81597;0;4.17453;3.32581;-1064.27;1.11992;12.9171;12.9171;0.49013;0.49013;1.11992;0;1064.27;0.49013;6868.76;1;1
