Arbeit;Arbeit (Belastung);Arbeit (Entlastung);Belastungsarbeit;Dehnung;Dehnung nominell;Dehnungskanal;Entlastungsarbeit;Höhenkanal;Höhenkanal normiert;Ist-Temperatur;Kanalintegration;LE-Kanal;Meßlänge;Prüfzeit;Standardkraft;Standardkraftsensor;Standardweg;Standardwegsensor;Systemzeit ;Temperatur;Traverse abs;Traversenwegaufnehmer;Zeit;Zyklus Start;Zyklusnummer
0.0;0.0;0.0;0.0;0.0;0.0;1059.75;0.0;0;0;0;0.0;7.84683;-1059.75;0.0;0.282346;0.282346;0.0;1059.75;7322.38;0;1059.75;1059.75;7322.38;0;0
0.0;0.0;0.0;0.0;0.0;0.0;1059.75;0.0;0;0;0;0.0;7.84683;-1059.75;0.0;0.247053;0.247053;0.0;1059.75;7324.2;0;1059.75;1059.75;7324.2;0;0
0.0;0.0;0.0;0.0;0.0;0.0;1059.75;0.0;0;0;0;0.0;7.84683;-1059.75;0.0;0.211761;0.211761;0.0;1059.75;7324.42;0;1059.75;1059.75;7324.42;0;0
0.0;0.0;0.0;0.0;0.0;0.0;1063.79;0.0;0;0;0;0.0;3.81375;-1063.79;0.0;3.98806;3.98806;0.0;1063.79;7327.4;0;1063.79;1063.79;7327.4;0;0
0.0;0.0;0.0;0.0;0.0;0.0;1063.8;0.0;0;0;0;0.0;3.80398;-1063.8;0.0;4.12923;4.12923;0.0;1063.8;7327.46;0;1063.8;1063.8;7327.46;0;0
0.0;0.0;0.0;0.0;0.0;0.0;5.13325e-005;0.0;0;0;0;0.0;3.79978;-1063.8;0.0;4.16453;4.16453;0.0;5.13325e-005;7327.52;0;1063.8;5.13325e-005;7327.52;0;0
0.0;0.0;0.0;0.0;0.0;0.0;0.000913401;0.0;3.79978;-3.79978;0;0.0;3.79892;-1063.8;0.0;4.12923;4.12923;0.0;0.000913401;1.95312e-005;0;1063.8;0.000913401;7327.54;0;0
0;0;0;0;0.00151685;0.00151685;0.00151685;0;3.79978;-3.79978;0;0;3.79831;-1063.8;0.0200195;4.09394;4.09394;0.00151685;0.00151685;0.0200195;0;1063.8;0.00151685;7327.56;0;0
4.02335e-006;4.02335e-006;0;0.00402335;0.00249961;0.00249961;0.00249961;0;3.79978;-3.79978;0;0.00402335;3.79733;-1063.8;0.0800195;4.09394;4.09394;0.00249961;0.00249961;0.0800195;0;1063.8;0.00249961;7327.62;0;0
4.80314e-006;4.80314e-006;0;0.00480314;0.00268926;0.00268926;0.00268926;0;3.79978;-3.79978;0;0.00480314;3.79714;-1063.8;0.10002;4.12923;4.12923;0.00268926;0.00268926;0.10002;0;1063.8;0.00268926;7327.64;0;0
5.23213e-006;5.23213e-006;0;0.00523213;0.00279271;0.00279271;0.00279271;0;3.79978;-3.79978;0;0.00523213;3.79704;-1063.8;0.12002;4.16453;4.16453;0.00279271;0.00279271;0.12002;0;1063.8;0.00279271;7327.66;1;1
