distance,springback,thickness,die_opening
2.5,1.648,0.5,40
2.5,1.634,0.5,40
2.5,1.648,0.5,40
2.5,1.354,0.5,40
2.5,1.354,0.5,40
2.5,1.634,0.5,40
5.0,1.741,0.5,40
5.0,1.634,0.5,40
5.0,1.741,0.5,40
5.0,1.771,0.5,40
5.0,1.771,0.5,40
5.0,1.634,0.5,40
10.0,1.952,0.5,40
10.0,1.94,0.5,40
10.0,2.248,0.5,40
10.0,1.94,0.5,40
10.0,1.952,0.5,40
10.0,2.248,0.5,40
15.0,2.474,0.5,40
15.0,2.434,0.5,40
15.0,2.474,0.5,40
15.0,2.621,0.5,40
15.0,2.434,0.5,40
15.0,2.621,0.5,40
20.0,3.714,0.5,40
20.0,3.754,0.5,40
20.0,3.714,0.5,40
20.0,3.501,0.5,40
20.0,3.754,0.5,40
20.0,3.501,0.5,40
