Arbeit;Arbeit (Belastung);Arbeit (Entlastung);Belastungsarbeit;Dehnung;Dehnung nominell;Dehnungskanal;Entlastungsarbeit;Höhenkanal;Höhenkanal normiert;Ist-Temperatur;Kanalintegration;LE-Kanal;Meßlänge;Prüfzeit;Standardkraft;Standardkraftsensor;Standardweg;Standardwegsensor;Systemzeit ;Temperatur;Traverse abs;Traversenwegaufnehmer;Zeit;Zyklus Start;Zyklusnummer
0.0;0.0;0.0;0.0;0.0;0.0;1091.52;0.0;0;0;0;0.0;1.032;-1091.52;0.0;-0.000279765;-0.000279765;0.0;1091.52;11606.2;0;1091.52;1091.52;11606.2;0;0
0.0;0.0;0.0;0.0;0.0;0.0;1091.52;0.0;0;0;0;0.0;1.032;-1091.52;0.0;-0.0708588;-0.0708588;0.0;1091.52;11610.6;0;1091.52;1091.52;11610.6;0;0
0.0;0.0;0.0;0.0;0.0;0.0;1091.52;0.0;0;0;0;0.0;1.032;-1091.52;0.0;-0.0708588;-0.0708588;0.0;1091.52;11610.8;0;1091.52;1091.52;11610.8;0;0
0.0;0.0;0.0;0.0;0.0;0.0;1106.47;0.0;0;0;0;0.0;-13.9172;-1106.47;0.0;50.499;50.499;0.0;1106.47;11620.4;0;1106.47;1106.47;11620.4;0;0
0.0;0.0;0.0;0.0;0.0;0.0;1106.48;0.0;0;0;0;0.0;-13.9267;-1106.48;0.0;54.4162;54.4162;0.0;1106.48;11620.4;0;1106.48;1106.48;11620.4;0;0
0.0;0.0;0.0;0.0;0.0;0.0;-3.2814e-005;0.0;0;0;0;0.0;-13.9313;-1106.48;0.0;56.1454;56.1454;0.0;-3.2814e-005;11620.5;0;1106.48;-3.2814e-005;11620.5;0;0
0.0;0.0;0.0;0.0;0.0;0.0;0.000760289;0.0;-13.9313;13.9313;0;0.0;-13.9321;-1106.48;0.0;56.4277;56.4277;0.0;0.000760289;-0.0003125;0;1106.48;0.000760289;11620.5;0;0
0;0;0;0;0.00136374;0.00136374;0.00136374;0;-13.9313;13.9313;0;0;-13.9327;-1106.48;0.0196875;56.6394;56.6394;0.00136374;0.00136374;0.0196875;0;1106.48;0.00136374;11620.5;0;0
4.702e-005;4.702e-005;0;0.04702;0.00219132;0.00219132;0.00219132;0;-13.9313;13.9313;0;0.04702;-13.9336;-1106.48;0.0596875;56.9923;56.9923;0.00219132;0.00219132;0.0596875;0;1106.48;0.00219132;11620.6;0;0
7.65718e-005;7.65718e-005;0;0.0765718;0.00270857;0.00270857;0.00270857;0;-13.9313;13.9313;0;0.0765718;-13.9341;-1106.48;0.0996875;57.2746;57.2746;0.00270857;0.00270857;0.0996875;0;1106.48;0.00270857;11620.6;0;0
8.54702e-005;8.54702e-005;0;0.0854702;0.00286374;0.00286374;0.00286374;0;-13.9313;13.9313;0;0.0854702;-13.9342;-1106.48;0.119687;57.4158;57.4158;0.00286374;0.00286374;0.119687;0;1106.48;0.00286374;11620.6;1;1
9.43823e-005;9.43823e-005;0;0.0943823;0.00301891;0.00301891;0.00301891;0;-13.9313;13.9313;0;0.0943823;-13.9344;-1106.48;0.139687;57.4511;57.4511;0.00301891;0.00301891;0.139687;0;1106.48;0.00301891;11620.6;1;1
0.000105282;0.000105282;0;0.105282;0.00320857;0.00320857;0.00320857;0;-13.9313;13.9313;0;0.105282;-13.9346;-1106.48;0.179688;57.4864;57.4864;0.00320857;0.00320857;0.179688;0;1106.48;0.00320857;11620.7;1;1
0.000115193;0.000115193;0;0.115193;0.00338098;0.00338098;0.00338098;0;-13.9313;13.9313;0;0.115193;-13.9348;-1106.48;0.279687;57.4864;57.4864;0.00338098;0.00338098;0.279687;0;1106.48;0.00338098;11620.8;1;1
0.000118167;0.000118167;0;0.118167;0.0034327;0.0034327;0.0034327;0;-13.9313;13.9313;0;0.118167;-13.9348;-1106.48;0.379687;57.5216;57.5216;0.0034327;0.0034327;0.379687;0;1106.48;0.0034327;11620.9;1;1
0.000118167;0.000118167;0;0.118167;0.0034327;0.0034327;0.0034327;0;-13.9313;13.9313;0;0.118167;-13.9348;-1106.48;0.479688;57.5569;57.5569;0.0034327;0.0034327;0.479688;0;1106.48;0.0034327;11621;1;1
0.000117175;0.000118167;-9.92054e-007;0.118167;0.00341546;0.00341546;0.00341546;-0.000992054;-13.9313;13.9313;0;0.117175;-13.9348;-1106.48;0.599688;57.5216;57.5216;0.00341546;0.00341546;0.599688;0;1106.48;0.00341546;11621.1;1;1
0.000117175;0.000118167;-9.92054e-007;0.118167;0.00341546;0.00341546;0.00341546;-0.000992054;-13.9313;13.9313;0;0.117175;-13.9348;-1106.48;0.702187;57.4864;57.4864;0.00341546;0.00341546;0.702187;0;1106.48;0.00341546;11621.2;1;1
0.000115192;0.000118167;-2.97557e-006;0.118167;0.00338098;0.00338098;0.00338098;-0.00297557;-13.9313;13.9313;0;0.115192;-13.9348;-1106.48;0.819687;57.5569;57.5569;0.00338098;0.00338098;0.819687;0;1106.48;0.00338098;11621.3;1;1
