Arbeit;Arbeit (Belastung);Arbeit (Entlastung);Belastungsarbeit;Dehnung;Dehnung nominell;Dehnungskanal;Entlastungsarbeit;Höhenkanal;Höhenkanal normiert;Ist-Temperatur;Kanalintegration;LE-Kanal;Meßlänge;Prüfzeit;Standardkraft;Standardkraftsensor;Standardweg;Standardwegsensor;Systemzeit ;Temperatur;Traverse abs;Traversenwegaufnehmer;Zeit;Zyklus Start;Zyklusnummer
0.0;0.0;0.0;0.0;0.0;0.0;1091.52;0.0;0;0;0;0.0;1.032;-1091.52;0.0;-0.212017;-0.212017;0.0;1091.52;1084.91;0;1091.52;1091.52;1084.91;0;0
0.0;0.0;0.0;0.0;0.0;0.0;1091.52;0.0;0;0;0;0.0;1.032;-1091.52;0.0;-0.106148;-0.106148;0.0;1091.52;1091.33;0;1091.52;1091.52;1091.33;0;0
0.0;0.0;0.0;0.0;0.0;0.0;1091.52;0.0;0;0;0;0.0;1.032;-1091.52;0.0;-0.247306;-0.247306;0.0;1091.52;1091.55;0;1091.52;1091.52;1091.55;0;0
0.0;0.0;0.0;0.0;0.0;0.0;1106.5;0.0;0;0;0;0.0;-13.9529;-1106.5;0.0;54.3809;54.3809;0.0;1106.5;1101.09;0;1106.5;1106.5;1101.09;0;0
0.0;0.0;0.0;0.0;0.0;0.0;1106.51;0.0;0;0;0;0.0;-13.9613;-1106.51;0.0;57.8392;57.8392;0.0;1106.51;1101.15;0;1106.51;1106.51;1101.15;0;0
0.0;0.0;0.0;0.0;0.0;0.0;-1.46361e-006;0.0;0;0;0;0.0;-13.9652;-1106.52;0.0;59.3567;59.3567;0.0;-1.46361e-006;1101.21;0;1106.52;-1.46361e-006;1101.21;0;0
0.0;0.0;0.0;0.0;0.0;0.0;0.000808881;0.0;-13.9652;13.9652;0;0.0;-13.966;-1106.52;0.0;59.6743;59.6743;0.0;0.000808881;-3.90625e-005;0;1106.52;0.000808881;1101.23;0;0
0;0;0;0;0.00136061;0.00136061;0.00136061;0;-13.9652;13.9652;0;0;-13.9665;-1106.52;0.0199609;59.8507;59.8507;0.00136061;0.00136061;0.0199609;0;1106.52;0.00136061;1101.25;0;0
6.31877e-005;6.31877e-005;0;0.0631877;0.00241233;0.00241233;0.00241233;0;-13.9652;13.9652;0;0.0631877;-13.9676;-1106.52;0.0999609;60.3095;60.3095;0.00241233;0.00241233;0.0999609;0;1106.52;0.00241233;1101.33;0;0
7.04707e-005;7.04707e-005;0;0.0704707;0.00253302;0.00253302;0.00253302;0;-13.9652;13.9652;0;0.0704707;-13.9677;-1106.52;0.119961;60.3801;60.3801;0.00253302;0.00253302;0.119961;0;1106.52;0.00253302;1101.35;1;1
