Arbeit;Arbeit (Belastung);Arbeit (Entlastung);Belastungsarbeit;Dehnung;Dehnung nominell;Dehnungskanal;Entlastungsarbeit;Höhenkanal;Höhenkanal normiert;Ist-Temperatur;Kanalintegration;LE-Kanal;Meßlänge;Prüfzeit;Standardkraft;Standardkraftsensor;Standardweg;Standardwegsensor;Systemzeit ;Temperatur;Traverse abs;Traversenwegaufnehmer;Zeit;Zyklus Start;Zyklusnummer
0.0;0.0;0.0;0.0;0.0;0.0;1057.68;0.0;0;0;0;0.0;9.9241;-1057.68;0.0;0.176474;0.176474;0.0;1057.68;7604.65;0;1057.68;1057.68;7604.65;0;0
0.0;0.0;0.0;0.0;0.0;0.0;1057.68;0.0;0;0;0;0.0;9.9241;-1057.68;0.0;4.61387e-006;4.61387e-006;0.0;1057.68;7606.31;0;1057.68;1057.68;7606.31;0;0
0.0;0.0;0.0;0.0;0.0;0.0;1057.68;0.0;0;0;0;0.0;9.9241;-1057.68;0.0;4.61387e-006;4.61387e-006;0.0;1057.68;7606.53;0;1057.68;1057.68;7606.53;0;0
0.0;0.0;0.0;0.0;0.0;0.0;1062.53;0.0;0;0;0;0.0;5.07278;-1062.53;0.0;33.0703;33.0703;0.0;1062.53;7610.01;0;1062.53;1062.53;7610.01;0;0
0.0;0.0;0.0;0.0;0.0;0.0;1062.54;0.0;0;0;0;0.0;5.06423;-1062.54;0.0;35.188;35.188;0.0;1062.54;7610.07;0;1062.54;1062.54;7610.07;0;0
0.0;0.0;0.0;0.0;0.0;0.0;-3.81855e-005;0.0;0;0;0;0.0;5.06024;-1062.54;0.0;36.2115;36.2115;0.0;-3.81855e-005;7610.13;0;1062.54;-3.81855e-005;7610.13;0;0
0.0;0.0;0.0;0.0;0.0;0.0;0.000685952;0.0;5.06024;-5.06024;0;0.0;5.05952;-1062.54;0.0;36.3879;36.3879;0.0;0.000685952;3.90625e-005;0;1062.54;0.000685952;7610.15;0;0
0;0;0;0;0.00120319;0.00120319;0.00120319;0;5.06024;-5.06024;0;0;5.059;-1062.54;0.0200391;36.4938;36.4938;0.00120319;0.00120319;0.0200391;0;1062.54;0.00120319;7610.17;0;0
3.78618e-005;3.78618e-005;0;0.0378618;0.00223768;0.00223768;0.00223768;0;5.06024;-5.06024;0;0.0378618;5.05797;-1062.54;0.100039;36.7056;36.7056;0.00223768;0.00223768;0.100039;0;1062.54;0.00223768;7610.25;0;0
4.2927e-005;4.2927e-005;0;0.042927;0.00237561;0.00237561;0.00237561;0;5.06024;-5.06024;0;0.042927;5.05783;-1062.54;0.120039;36.7409;36.7409;0.00237561;0.00237561;0.120039;0;1062.54;0.00237561;7610.27;1;1
4.60974e-005;4.60974e-005;0;0.0460974;0.00246181;0.00246181;0.00246181;0;5.06024;-5.06024;0;0.0460974;5.05774;-1062.54;0.140039;36.8115;36.8115;0.00246181;0.00246181;0.140039;0;1062.54;0.00246181;7610.29;1;1
5.30755e-005;5.30755e-005;0;0.0530755;0.00265147;0.00265147;0.00265147;0;5.06024;-5.06024;0;0.0530755;5.05755;-1062.54;0.220039;36.7762;36.7762;0.00265147;0.00265147;0.220039;0;1062.54;0.00265147;7610.37;1;1
5.68854e-005;5.68854e-005;0;0.0568854;0.00275492;0.00275492;0.00275492;0;5.06024;-5.06024;0;0.0568854;5.05745;-1062.54;0.340039;36.8821;36.8821;0.00275492;0.00275492;0.340039;0;1062.54;0.00275492;7610.49;1;1
5.75213e-005;5.75213e-005;0;0.0575213;0.00277216;0.00277216;0.00277216;0;5.06024;-5.06024;0;0.0575213;5.05743;-1062.54;0.440039;36.8821;36.8821;0.00277216;0.00277216;0.440039;0;1062.54;0.00277216;7610.59;1;1
5.87937e-005;5.87937e-005;0;0.0587937;0.00280664;0.00280664;0.00280664;0;5.06024;-5.06024;0;0.0587937;5.0574;-1062.54;0.560039;36.9173;36.9173;0.00280664;0.00280664;0.560039;0;1062.54;0.00280664;7610.71;1;1
5.87937e-005;5.87937e-005;0;0.0587937;0.00280664;0.00280664;0.00280664;0;5.06024;-5.06024;0;0.0587937;5.0574;-1062.54;0.662539;36.9879;36.9879;0.00280664;0.00280664;0.662539;0;1062.54;0.00280664;7610.81;1;1
0.000116661;0.000116661;0;0.116661;0.00434112;0.00434112;0.00434112;0;5.06024;-5.06024;0;0.116661;5.05586;-1062.54;0.780039;38.435;38.435;0.00434112;0.00434112;0.780039;0;1062.54;0.00434112;7610.93;1;1
0.0044748;0.0044748;0;4.4748;0.0952032;0.0952032;0.0952032;0;5.06024;-5.06024;0;4.4748;4.965;-1062.63;0.880039;57.4936;57.4936;0.0952032;0.0952032;0.880039;0;1062.63;0.0952032;7611.03;1;1
0.00616642;0.00616642;0;6.16642;0.123134;0.123134;0.123134;0;5.06024;-5.06024;0;6.16642;4.93707;-1062.66;0.902539;63.6348;63.6348;0.123134;0.123134;0.902539;0;1062.66;0.123134;7611.05;1;1
0.0135364;0.0135364;0;13.5364;0.222358;0.222358;0.222358;0;5.06024;-5.06024;0;13.5364;4.83785;-1062.76;0.980039;84.917;84.917;0.222358;0.222358;0.980039;0;1062.76;0.222358;7611.13;1;1
