Arbeit;Arbeit (Belastung);Arbeit (Entlastung);Belastungsarbeit;Dehnung;Dehnung nominell;Dehnungskanal;Entlastungsarbeit;Höhenkanal;Höhenkanal normiert;Ist-Temperatur;Kanalintegration;LE-Kanal;Meßlänge;Prüfzeit;Standardkraft;Standardkraftsensor;Standardweg;Standardwegsensor;Systemzeit ;Temperatur;Traverse abs;Traversenwegaufnehmer;Zeit;Zyklus Start;Zyklusnummer
0.0;0.0;0.0;0.0;0.0;0.0;1091.52;0.0;0;0;0;0.0;1.032;-1091.52;0.0;-0.0355693;-0.0355693;0.0;1091.52;11253.5;0;1091.52;1091.52;11253.5;0;0
0.0;0.0;0.0;0.0;0.0;0.0;1091.52;0.0;0;0;0;0.0;1.032;-1091.52;0.0;-0.000279765;-0.000279765;0.0;1091.52;11257.3;0;1091.52;1091.52;11257.3;0;0
0.0;0.0;0.0;0.0;0.0;0.0;1091.52;0.0;0;0;0;0.0;1.032;-1091.52;0.0;-0.000279765;-0.000279765;0.0;1091.52;11257.5;0;1091.52;1091.52;11257.5;0;0
0.0;0.0;0.0;0.0;0.0;0.0;1106.35;0.0;0;0;0;0.0;-13.8031;-1106.35;0.0;55.616;55.616;0.0;1106.35;11267;0;1106.35;1106.35;11267;0;0
0.0;0.0;0.0;0.0;0.0;0.0;1106.36;0.0;0;0;0;0.0;-13.8111;-1106.36;0.0;59.0391;59.0391;0.0;1106.36;11267.1;0;1106.36;1106.36;11267.1;0;0
0.0;0.0;0.0;0.0;0.0;0.0;2.43338e-005;0.0;0;0;0;0.0;-13.8151;-1106.37;0.0;60.6977;60.6977;0.0;2.43338e-005;11267.1;0;1106.37;2.43338e-005;11267.1;0;0
0.0;0.0;0.0;0.0;0.0;0.0;0.00073123;0.0;-13.8151;13.8151;0;0.0;-13.8158;-1106.37;0.0;60.98;60.98;0.0;0.00073123;-0.00046875;0;1106.37;0.00073123;11267.2;0;0
0;0;0;0;0.00131744;0.00131744;0.00131744;0;-13.8151;13.8151;0;0;-13.8164;-1106.37;0.0195313;61.227;61.227;0.00131744;0.00131744;0.0195313;0;1106.37;0.00131744;11267.2;0;0
7.84099e-005;7.84099e-005;0;0.0784099;0.0025933;0.0025933;0.0025933;0;-13.8151;13.8151;0;0.0784099;-13.8176;-1106.37;0.0995312;61.6858;61.6858;0.0025933;0.0025933;0.0995312;0;1106.37;0.0025933;11267.3;0;0
8.58611e-005;8.58611e-005;0;0.0858611;0.00271399;0.00271399;0.00271399;0;-13.8151;13.8151;0;0.0858611;-13.8178;-1106.37;0.119531;61.7917;61.7917;0.00271399;0.00271399;0.119531;0;1106.37;0.00271399;11267.3;1;1
9.1188e-005;9.1188e-005;0;0.091188;0.0028002;0.0028002;0.0028002;0;-13.8151;13.8151;0;0.091188;-13.8178;-1106.37;0.139531;61.7917;61.7917;0.0028002;0.0028002;0.139531;0;1106.37;0.0028002;11267.3;1;1
0.000101848;0.000101848;0;0.101848;0.00297261;0.00297261;0.00297261;0;-13.8151;13.8151;0;0.101848;-13.818;-1106.37;0.219531;61.8623;61.8623;0.00297261;0.00297261;0.219531;0;1106.37;0.00297261;11267.4;1;1
0.000106118;0.000106118;0;0.106118;0.00304158;0.00304158;0.00304158;0;-13.8151;13.8151;0;0.106118;-13.8181;-1106.37;0.319531;61.9681;61.9681;0.00304158;0.00304158;0.319531;0;1106.37;0.00304158;11267.5;1;1
