Arbeit;Arbeit (Belastung);Arbeit (Entlastung);Belastungsarbeit;Dehnung;Dehnung nominell;Dehnungskanal;Entlastungsarbeit;Höhenkanal;Höhenkanal normiert;Ist-Temperatur;Kanalintegration;LE-Kanal;Meßlänge;Prüfzeit;Standardkraft;Standardkraftsensor;Standardweg;Standardwegsensor;Systemzeit ;Temperatur;Traverse abs;Traversenwegaufnehmer;Zeit;Zyklus Start;Zyklusnummer
0.0;0.0;0.0;0.0;0.0;0.0;1091.52;0.0;0;0;0;0.0;1.032;-1091.52;0.0;-0.106148;-0.106148;0.0;1091.52;15503.2;0;1091.52;1091.52;15503.2;0;0
0.0;0.0;0.0;0.0;0.0;0.0;1091.52;0.0;0;0;0;0.0;1.032;-1091.52;0.0;-0.0708588;-0.0708588;0.0;1091.52;15506.9;0;1091.52;1091.52;15506.9;0;0
0.0;0.0;0.0;0.0;0.0;0.0;1091.52;0.0;0;0;0;0.0;1.032;-1091.52;0.0;-0.106148;-0.106148;0.0;1091.52;15507.2;0;1091.52;1091.52;15507.2;0;0
0.0;0.0;0.0;0.0;0.0;0.0;1105.47;0.0;0;0;0;0.0;-12.9194;-1105.47;0.0;179.941;179.941;0.0;1105.47;15516.1;0;1105.47;1105.47;15516.1;0;0
0.0;0.0;0.0;0.0;0.0;0.0;1105.48;0.0;0;0;0;0.0;-12.9278;-1105.48;0.0;191.692;191.692;0.0;1105.48;15516.2;0;1105.48;1105.48;15516.2;0;0
0.0;0.0;0.0;0.0;0.0;0.0;-3.83187e-005;0.0;0;0;0;0.0;-12.9318;-1105.48;0.0;197.233;197.233;0.0;-3.83187e-005;15516.2;0;1105.48;-3.83187e-005;15516.2;0;0
0.0;0.0;0.0;0.0;0.0;0.0;0.000703061;0.0;-12.9318;12.9318;0;0.0;-12.9326;-1105.48;0.0;198.221;198.221;0.0;0.000703061;-7.8125e-005;0;1105.48;0.000703061;15516.3;0;0
0;0;0;0;0.00123754;0.00123754;0.00123754;0;-12.9318;12.9318;0;0;-12.9331;-1105.48;0.0199219;198.962;198.962;0.00123754;0.00123754;0.0199219;0;1105.48;0.00123754;15516.3;0;0
0.000206571;0.000206571;0;0.206571;0.00227203;0.00227203;0.00227203;0;-12.9318;12.9318;0;0.206571;-12.9341;-1105.48;0.0999219;200.409;200.409;0.00227203;0.00227203;0.0999219;0;1105.48;0.00227203;15516.4;0;0
0.000234226;0.000234226;0;0.234226;0.00240996;0.00240996;0.00240996;0;-12.9318;12.9318;0;0.234226;-12.9343;-1105.48;0.119922;200.585;200.585;0.00240996;0.00240996;0.119922;0;1105.48;0.00240996;15516.4;1;1
0.00025498;0.00025498;0;0.25498;0.00251341;0.00251341;0.00251341;0;-12.9318;12.9318;0;0.25498;-12.9344;-1105.48;0.139922;200.656;200.656;0.00251341;0.00251341;0.139922;0;1105.48;0.00251341;15516.4;1;1
0.000296513;0.000296513;0;0.296513;0.0027203;0.0027203;0.0027203;0;-12.9318;12.9318;0;0.296513;-12.9346;-1105.48;0.199922;200.832;200.832;0.0027203;0.0027203;0.199922;0;1105.48;0.0027203;15516.5;1;1
0.000320756;0.000320756;0;0.320756;0.00284099;0.00284099;0.00284099;0;-12.9318;12.9318;0;0.320756;-12.9347;-1105.48;0.299922;200.903;200.903;0.00284099;0.00284099;0.299922;0;1105.48;0.00284099;15516.6;1;1
0.000327683;0.000327683;0;0.327683;0.00287547;0.00287547;0.00287547;0;-12.9318;12.9318;0;0.327683;-12.9347;-1105.48;0.419922;200.868;200.868;0.00287547;0.00287547;0.419922;0;1105.48;0.00287547;15516.7;1;1
0.000331145;0.000331145;0;0.331145;0.00289272;0.00289272;0.00289272;0;-12.9318;12.9318;0;0.331145;-12.9348;-1105.48;0.519922;200.762;200.762;0.00289272;0.00289272;0.519922;0;1105.48;0.00289272;15516.8;1;1
0.000331145;0.000331145;0;0.331145;0.00289272;0.00289272;0.00289272;0;-12.9318;12.9318;0;0.331145;-12.9348;-1105.48;0.619922;200.727;200.727;0.00289272;0.00289272;0.619922;0;1105.48;0.00289272;15516.9;1;1
0.000331145;0.000331145;0;0.331145;0.00289272;0.00289272;0.00289272;0;-12.9318;12.9318;0;0.331145;-12.9348;-1105.48;0.719922;200.656;200.656;0.00289272;0.00289272;0.719922;0;1105.48;0.00289272;15517;1;1
0.000331145;0.000331145;0;0.331145;0.00289272;0.00289272;0.00289272;0;-12.9318;12.9318;0;0.331145;-12.9348;-1105.48;0.839922;200.585;200.585;0.00289272;0.00289272;0.839922;0;1105.48;0.00289272;15517.1;1;1
0.000394266;0.000394266;0;0.394266;0.00320306;0.00320306;0.00320306;0;-12.9318;12.9318;0;0.394266;-12.9351;-1105.49;0.939922;206.196;206.196;0.00320306;0.00320306;0.939922;0;1105.49;0.00320306;15517.2;1;1
