Arbeit;Arbeit (Belastung);Arbeit (Entlastung);Belastungsarbeit;Dehnung;Dehnung nominell;Dehnungskanal;Entlastungsarbeit;Höhenkanal;Höhenkanal normiert;Ist-Temperatur;Kanalintegration;LE-Kanal;Meßlänge;Prüfzeit;Standardkraft;Standardkraftsensor;Standardweg;Standardwegsensor;Systemzeit ;Temperatur;Traverse abs;Traversenwegaufnehmer;Zeit;Zyklus Start;Zyklusnummer
0.0;0.0;0.0;0.0;0.0;0.0;1091.52;0.0;0;0;0;0.0;1.032;-1091.52;0.0;-0.0708588;-0.0708588;0.0;1091.52;13374.8;0;1091.52;1091.52;13374.8;0;0
0.0;0.0;0.0;0.0;0.0;0.0;1091.52;0.0;0;0;0;0.0;1.032;-1091.52;0.0;-0.176727;-0.176727;0.0;1091.52;13380.7;0;1091.52;1091.52;13380.7;0;0
0.0;0.0;0.0;0.0;0.0;0.0;1091.52;0.0;0;0;0;0.0;1.032;-1091.52;0.0;-0.212017;-0.212017;0.0;1091.52;13380.9;0;1091.52;1091.52;13380.9;0;0
0.0;0.0;0.0;0.0;0.0;0.0;1105.97;0.0;0;0;0;0.0;-13.4194;-1105.97;0.0;112.926;112.926;0.0;1105.97;13390.2;0;1105.97;1105.97;13390.2;0;0
0.0;0.0;0.0;0.0;0.0;0.0;1105.98;0.0;0;0;0;0.0;-13.4278;-1105.98;0.0;119.419;119.419;0.0;1105.98;13390.2;0;1105.98;1105.98;13390.2;0;0
0.0;0.0;0.0;0.0;0.0;0.0;-3.83277e-005;0.0;0;0;0;0.0;-13.4318;-1105.98;0.0;122.278;122.278;0.0;-3.83277e-005;13390.3;0;1105.98;-3.83277e-005;13390.3;0;0
0.0;0.0;0.0;0.0;0.0;0.0;0.000668569;0.0;-13.4318;13.4318;0;0.0;-13.4325;-1105.98;0.0;122.737;122.737;0.0;0.000668569;0.000351563;0;1105.98;0.000668569;13390.3;0;0
0;0;0;0;0.00120305;0.00120305;0.00120305;0;-13.4318;13.4318;0;0;-13.4331;-1105.98;0.0203516;123.125;123.125;0.00120305;0.00120305;0.0203516;0;1105.98;0.00120305;13390.3;0;0
0.00011272;0.00011272;0;0.11272;0.00211684;0.00211684;0.00211684;0;-13.4318;13.4318;0;0.11272;-13.434;-1105.98;0.0803516;123.584;123.584;0.00211684;0.00211684;0.0803516;0;1105.98;0.00211684;13390.4;0;0
0.000131905;0.000131905;0;0.131905;0.00227202;0.00227202;0.00227202;0;-13.4318;13.4318;0;0.131905;-13.4341;-1105.98;0.100352;123.689;123.689;0.00227202;0.00227202;0.100352;0;1105.98;0.00227202;13390.4;0;0
0.000151098;0.000151098;0;0.151098;0.00242719;0.00242719;0.00242719;0;-13.4318;13.4318;0;0.151098;-13.4343;-1105.98;0.120352;123.689;123.689;0.00242719;0.00242719;0.120352;0;1105.98;0.00242719;13390.4;1;1
0.000163896;0.000163896;0;0.163896;0.00253064;0.00253064;0.00253064;0;-13.4318;13.4318;0;0.163896;-13.4344;-1105.98;0.140352;123.725;123.725;0.00253064;0.00253064;0.140352;0;1105.98;0.00253064;13390.5;1;1
0.000187361;0.000187361;0;0.187361;0.00272029;0.00272029;0.00272029;0;-13.4318;13.4318;0;0.187361;-13.4346;-1105.98;0.200352;123.725;123.725;0.00272029;0.00272029;0.200352;0;1105.98;0.00272029;13390.5;1;1
0.000204424;0.000204424;0;0.204424;0.00285822;0.00285822;0.00285822;0;-13.4318;13.4318;0;0.204424;-13.4347;-1105.98;0.300352;123.689;123.689;0.00285822;0.00285822;0.300352;0;1105.98;0.00285822;13390.6;1;1
0.000208687;0.000208687;0;0.208687;0.00289271;0.00289271;0.00289271;0;-13.4318;13.4318;0;0.208687;-13.4348;-1105.98;0.400352;123.584;123.584;0.00289271;0.00289271;0.400352;0;1105.98;0.00289271;13390.7;1;1
0.000210817;0.000210817;0;0.210817;0.00290995;0.00290995;0.00290995;0;-13.4318;13.4318;0;0.210817;-13.4348;-1105.98;0.520352;123.478;123.478;0.00290995;0.00290995;0.520352;0;1105.98;0.00290995;13390.8;1;1
0.000210817;0.000210817;0;0.210817;0.00290995;0.00290995;0.00290995;0;-13.4318;13.4318;0;0.210817;-13.4348;-1105.98;0.620352;123.337;123.337;0.00290995;0.00290995;0.620352;0;1105.98;0.00290995;13390.9;1;1
0.000210817;0.000210817;0;0.210817;0.00290995;0.00290995;0.00290995;0;-13.4318;13.4318;0;0.210817;-13.4348;-1105.98;0.720352;123.301;123.301;0.00290995;0.00290995;0.720352;0;1105.98;0.00290995;13391;1;1
0.000208691;0.000210817;-2.12558e-006;0.210817;0.00289271;0.00289271;0.00289271;-0.00212558;-13.4318;13.4318;0;0.208691;-13.4348;-1105.98;0.820352;123.266;123.266;0.00289271;0.00289271;0.820352;0;1105.98;0.00289271;13391.1;1;1
0.000206554;0.000210817;-4.26302e-006;0.210817;0.00287547;0.00287547;0.00287547;-0.00426302;-13.4318;13.4318;0;0.206554;-13.4347;-1105.98;0.940352;124.678;124.678;0.00287547;0.00287547;0.940352;0;1105.98;0.00287547;13391.3;1;1
0.0185627;0.018567;-4.26302e-006;18.567;0.113772;0.113772;0.113772;-0.00426302;-13.4318;13.4318;0;18.5627;-13.5456;-1106.1;1.06035;206.373;206.373;0.113772;0.113772;1.06035;0;1106.1;0.113772;13391.4;1;1
0.0494328;0.0494371;-4.26302e-006;49.4371;0.239738;0.239738;0.239738;-0.00426302;-13.4318;13.4318;0;49.4328;-13.6716;-1106.22;1.14035;283.763;283.763;0.239738;0.239738;1.14035;0;1106.22;0.239738;13391.5;1;1
0.0589015;0.0589058;-4.26302e-006;58.9058;0.272186;0.272186;0.272186;-0.00426302;-13.4318;13.4318;0;58.9015;-13.704;-1106.25;1.16035;299.855;299.855;0.272186;0.272186;1.16035;0;1106.25;0.272186;13391.5;1;1
0.0902839;0.0902881;-4.26302e-006;90.2881;0.370531;0.370531;0.370531;-0.00426302;-13.4318;13.4318;0;90.2839;-13.8024;-1106.35;1.22035;338.356;338.356;0.370531;0.370531;1.22035;0;1106.35;0.370531;13391.5;1;1
