distance,springback,thickness,die_opening
2.5,0.696,2.0,50
2.5,0.696,2.0,50
2.5,0.924,2.0,50
5.0,0.791,2.0,50
5.0,0.711,2.0,50
5.0,0.751,2.0,50
10.0,0.884,2.0,50
10.0,0.884,2.0,50
10.0,1.071,2.0,50
15.0,2.257,2.0,50
15.0,1.351,2.0,50
15.0,1.071,2.0,50
20.0,1.377,2.0,50
20.0,1.378,2.0,50
20.0,1.431,2.0,50
20.0,1.431,2.0,50
2.5,1.028,1.0,50
2.5,1.041,1.0,50
2.5,1.054,1.0,50
5.0,1.084,1.0,50
5.0,0.757,1.0,50
10.0,1.389,1.0,50
10.0,1.351,1.0,50
10.0,1.416,1.0,50
15.0,1.604,1.0,50
15.0,1.59,1.0,50
15.0,1.661,1.0,50
20.0,2.017,1.0,50
20.0,2.058,1.0,50
20.0,2.039,1.0,50
2.5,0.671,3.0,50
2.5,0.791,3.0,50
2.5,0.738,3.0,50
5.0,0.831,3.0,50
5.0,0.698,3.0,50
5.0,0.764,3.0,50
10.0,0.964,3.0,50
10.0,0.738,3.0,50
10.0,0.871,3.0,50
15.0,1.271,3.0,50
15.0,0.884,3.0,50
15.0,0.939,3.0,50
20.0,1.177,3.0,50
20.0,1.191,3.0,50
20.0,1.191,3.0,50
5.0,0.95,2.5,50
5.0,0.858,2.5,50
5.0,0.991,2.5,50
10.0,1.204,2.5,50
10.0,1.004,2.5,50
10.0,1.404,2.5,50
15.0,1.524,2.5,50
15.0,1.244,2.5,50
15.0,1.418,2.5,50
20.0,1.578,2.5,50
20.0,1.639,2.5,50
20.0,1.751,2.5,50
2.5,0.882,1.5,50
2.5,0.924,1.5,50
2.5,0.831,1.5,50
2.5,2.498,1.5,50
5.0,0.938,1.5,50
5.0,0.898,1.5,50
5.0,0.978,1.5,50
10.0,1.058,1.5,50
10.0,1.084,1.5,50
10.0,1.084,1.5,50
15.0,1.537,1.5,50
15.0,1.336,1.5,50
15.0,1.311,1.5,50
20.0,1.738,1.5,50
20.0,1.697,1.5,50
20.0,1.736,1.5,50
5.0,2.201,0.5,50
5.0,2.574,0.5,50
5.0,2.227,0.5,50
10.0,2.628,0.5,50
10.0,2.853,0.5,50
10.0,2.64,0.5,50
15.0,3.321,0.5,50
15.0,3.721,0.5,50
15.0,3.347,0.5,50
20.0,4.134,0.5,50
20.0,4.08,0.5,50
20.0,3.747,0.5,50
10.0001,0.5385299999999997,1.0,10
5.00016,0.3759999999999994,1.0,10
10.0001,0.6582799999999995,1.0,10
5.00015,0.4754300000000002,1.0,10
10.0001,0.608369999999999,1.0,10
5.00015,0.3760699999999994,1.0,10
15.0001,0.1646999999999998,0.5,10
10.0001,0.9048700000000008,0.5,10
5.00012,0.4911199999999995,0.5,10
10.0001,0.9239500000000014,0.5,10
5.00011,0.4091599999999999,0.5,10
10.0001,1.0572400000000002,0.5,10
15.0001,0.2774000000000001,0.5,10
5.00012,0.492,0.5,10
15.0001,0.1332000000000004,0.5,10
5.0,0.687,2.0,20
5.0,0.594,2.0,20
5.0,0.621,2.0,20
10.0,0.568,2.0,20
10.0,0.754,2.0,20
10.0,0.565,2.0,20
15.0,1.045,2.0,20
15.0,0.887,2.0,20
15.0,0.887,2.0,20
20.0,1.501,2.0,20
20.0,1.62,2.0,20
20.0,1.794,2.0,20
2.5,2.254,0.5,20
2.5,0.787,0.5,20
2.5,0.82,0.5,20
5.0,0.858,0.5,20
5.0,0.838,0.5,20
5.0,0.772,0.5,20
7.5,0.901,0.5,20
7.5,1.053,0.5,20
7.5,0.904,0.5,20
10.0,1.105,0.5,20
10.0,1.158,0.5,20
12.5,1.371,0.5,20
12.5,1.337,0.5,20
12.5,1.304,0.5,20
15.0,1.857,0.5,20
15.0,1.708,0.5,20
15.0,1.838,0.5,20
17.5,2.537,0.5,20
17.5,2.221,0.5,20
17.5,2.537,0.5,20
2.5,0.471,1.0,20
2.5,0.521,1.0,20
2.5,1.158,1.0,20
5.0,0.439,1.0,20
5.0,0.442,1.0,20
5.0,0.443,1.0,20
7.5,0.587,1.0,20
7.5,0.538,1.0,20
7.5,0.521,1.0,20
10.0,0.692,1.0,20
10.0,0.658,1.0,20
10.0,0.672,1.0,20
12.5,0.821,1.0,20
12.5,0.904,1.0,20
12.5,0.804,1.0,20
15.0,1.058,1.0,20
15.0,1.125,1.0,20
15.0,1.058,1.0,20
17.5,1.387,1.0,20
17.5,1.471,1.0,20
17.5,1.504,1.0,20
20.0,1.958,1.0,20
20.0,1.875,1.0,20
20.0,2.075,1.0,20
5.0,0.618,1.5,20
5.0,0.527,1.5,20
10.0,0.634,1.5,20
10.0,0.714,1.5,20
10.0,0.554,1.5,20
15.0,0.992,1.5,20
15.0,0.927,1.5,20
15.0,0.954,1.5,20
20.0,1.578,1.5,20
20.0,1.525,1.5,20
20.0,1.554,1.5,20
2.5,0.381,3.0,20
2.5,0.395,3.0,20
2.5,0.381,3.0,20
5.0,0.421,3.0,20
5.0,0.541,3.0,20
5.0,0.382,3.0,20
7.5,0.488,3.0,20
7.5,0.501,3.0,20
7.5,0.568,3.0,20
10.0,0.488,3.0,20
10.0,0.581,3.0,20
10.0,0.568,3.0,20
15.0,0.861,3.0,20
15.0,0.847,3.0,20
15.0,0.888,3.0,20
20.0,1.368,3.0,20
20.0,1.394,3.0,20
20.0,1.327,3.0,20
2.5,1.648,0.5,40
2.5,1.634,0.5,40
2.5,1.648,0.5,40
2.5,1.354,0.5,40
2.5,1.354,0.5,40
2.5,1.634,0.5,40
5.0,1.741,0.5,40
5.0,1.634,0.5,40
5.0,1.741,0.5,40
5.0,1.771,0.5,40
5.0,1.771,0.5,40
5.0,1.634,0.5,40
10.0,1.952,0.5,40
10.0,1.94,0.5,40
10.0,2.248,0.5,40
10.0,1.94,0.5,40
10.0,1.952,0.5,40
10.0,2.248,0.5,40
15.0,2.474,0.5,40
15.0,2.434,0.5,40
15.0,2.474,0.5,40
15.0,2.621,0.5,40
15.0,2.434,0.5,40
15.0,2.621,0.5,40
20.0,3.714,0.5,40
20.0,3.754,0.5,40
20.0,3.714,0.5,40
20.0,3.501,0.5,40
20.0,3.754,0.5,40
20.0,3.501,0.5,40
2.5,0.661,1.5,40
2.5,0.648,1.5,40
2.5,1.034,1.5,40
5.0,0.752,1.5,40
5.0,0.767,1.5,40
5.0,0.794,1.5,40
10.0,0.861,1.5,40
10.0,1.008,1.5,40
10.0,0.914,1.5,40
15.0,1.341,1.5,40
15.0,1.194,1.5,40
15.0,1.168,1.5,40
20.0,1.498,1.5,40
20.0,2.408,1.5,40
20.0,1.501,1.5,40
2.5,0.544,3.0,40
2.5,0.518,3.0,40
2.5,0.465,3.0,40
5.0,0.621,3.0,40
5.0,0.504,3.0,40
5.0,0.678,3.0,40
10.0,0.651,3.0,40
10.0,0.747,3.0,40
10.0,0.648,3.0,40
15.0,0.824,3.0,40
15.0,0.881,3.0,40
15.0,0.878,3.0,40
20.0,1.064,3.0,40
20.0,1.048,3.0,40
20.0,1.197,3.0,40
2.5,0.544,2.5,40
2.5,0.624,2.5,40
2.5,0.731,2.5,40
2.5,0.731,2.5,40
5.0,0.744,2.5,40
5.0,0.704,2.5,40
5.0,0.704,2.5,40
10.0,0.877,2.5,40
10.0,0.994,2.5,40
10.0,1.078,2.5,40
15.0,1.074,2.5,40
15.0,1.158,2.5,40
15.0,1.161,2.5,40
20.0,1.438,2.5,40
20.0,1.438,2.5,40
20.0,1.344,2.5,40
2.5,1.504,0.5,40
2.5,1.41,0.5,40
2.5,1.358,0.5,40
5.0,1.691,0.5,40
5.0,1.678,0.5,40
5.0,1.691,0.5,40
10.0,2.078,0.5,40
10.0,1.877,0.5,40
10.0,2.171,0.5,40
15.0,2.611,0.5,40
15.0,2.451,0.5,40
15.0,2.624,0.5,40
20.0,3.371,0.5,40
20.0,3.464,0.5,40
20.0,3.424,0.5,40
